rescue_candidate	mapping_hit	alignment_type	alignment_score
PB.68187.1	PB.130819.6	256	432
PB.68187.1	PB.96072.1	256	432
PB.68187.1	PB.130819.4	256	431
PB.68187.1	PB.22971.2	256	431
PB.68187.1	ENST00000418951.6	256	431
PB.30361.1	PB.137294.5	0	301
PB.30361.1	ENST00000543133.5	256	301
PB.30361.1	ENST00000337612.9	256	301
PB.30361.1	ENST00000317582.10	256	301
PB.30361.1	PB.137294.2	256	301
PB.30361.1	PB.130819.4	256	301
PB.137294.6	ENST00000317582.10	0	3112
PB.137294.6	PB.130819.6	256	3112
PB.137294.6	ENST00000618481.4	256	3043
PB.137294.6	ENST00000418951.6	256	2946
PB.137294.6	PB.130819.4	256	2945
PB.137294.6	ENST00000543133.5	256	2772
PB.30362.1	ENST00000543133.5	0	2010
PB.30362.1	ENST00000355028.4	256	2010
PB.30362.1	PB.22972.1	256	2010
PB.30362.1	PB.130819.4	256	2010
PB.30362.1	PB.137294.4	256	2010
PB.30362.1	ENST00000618481.4	256	2010
PB.157385.1	ENST00000538149.5	0	2547
PB.157385.1	ENST00000618481.4	256	2547
PB.157385.1	PB.137294.2	256	2547
PB.157385.1	PB.130819.6	256	2547
PB.157385.1	ENST00000337612.9	256	2547
PB.157385.1	ENST00000616863.4	256	2547
PB.45360.1	ENST00000614949.4	0	1716
PB.45360.1	ENST00000317361.11	256	1716
PB.45360.1	ENST00000622694.5	256	1716
PB.45360.1	ENST00000399765.5	256	1683
PB.88758.1	ENST00000441493.7	0	3660
PB.88758.1	ENST00000476405.1	256	3569
PB.88758.1	PB.130821.2	256	3453
PB.8635.1	ENST00000441493.7	0	4613
PB.3799.2	ENST00000414725.6	0	4562
PB.75670.1	PB.157386.1	0	622
PB.75670.1	ENST00000399744.8	256	617
PB.150483.1	ENST00000399744.8	0	1283
PB.150483.1	ENST00000329627.11	256	981
PB.45363.1	PB.30364.2	0	1506
PB.45363.1	PB.37831.1	256	1530
PB.45363.1	ENST00000215794.8	256	1530
PB.103690.1	ENST00000612978.5	0	680
PB.103690.1	ENST00000621561.5	256	654
PB.103690.2	ENST00000612978.5	0	525
PB.103690.2	ENST00000621561.5	256	507
PB.103690.2	PB.103704.1	256	511
PB.52887.2	ENST00000610959.4	0	916
PB.52887.1	ENST00000486209.5	0	825
PB.52887.1	ENST00000610959.4	256	619
PB.52887.1	PB.83100.1	256	1156
PB.68191.2	ENST00000610959.4	0	585
PB.68191.2	ENST00000486209.5	256	594
PB.68191.2	PB.83100.1	256	1122
PB.68192.1	ENST00000640084.1	0	952
PB.75671.1	ENST00000640084.1	0	952
PB.75671.2	ENST00000640084.1	0	1029
PB.137295.1	ENST00000438934.5	0	2812
PB.8639.2	ENST00000263196.12	0	4287
PB.8639.2	ENST00000545799.5	256	4286
PB.8639.2	ENST00000537045.5	256	4034
PB.8639.2	PB.124744.2	256	3588
PB.137296.1	ENST00000263196.12	0	3053
PB.137296.1	ENST00000545799.5	256	3053
PB.137296.1	ENST00000537045.5	256	3053
PB.137296.1	PB.124744.2	256	3051
PB.137296.1	PB.130824.1	256	3051
PB.8639.5	ENST00000545799.5	0	4175
PB.8639.5	ENST00000263196.12	256	4168
PB.8639.5	ENST00000537045.5	256	3903
PB.8639.5	PB.124744.2	256	3503
PB.88761.1	ENST00000545799.5	0	3647
PB.88761.1	ENST00000263196.12	256	3605
PB.88761.1	ENST00000537045.5	256	3370
PB.88761.1	PB.124744.2	256	2933
PB.8639.6	ENST00000545799.5	0	3923
PB.8639.6	ENST00000263196.12	256	3903
PB.8639.6	ENST00000537045.5	256	3651
PB.8639.6	PB.124744.2	256	3239
PB.8639.7	ENST00000545799.5	0	4359
PB.8639.7	ENST00000263196.12	256	4352
PB.8639.7	ENST00000537045.5	256	4087
PB.8639.7	PB.124744.2	256	3689
PB.88761.3	ENST00000263196.12	0	3824
PB.88761.3	ENST00000537045.5	256	3824
PB.88761.3	ENST00000545799.5	256	3824
PB.88761.3	PB.124744.2	256	3739
PB.88761.3	PB.130824.1	256	3427
PB.137296.2	ENST00000263196.12	0	3093
PB.137296.2	ENST00000537045.5	256	3093
PB.137296.2	PB.124744.2	256	3093
PB.137296.2	PB.130824.1	256	3093
PB.137296.2	ENST00000545799.5	256	3093
PB.8639.8	ENST00000263196.12	0	4054
PB.8639.8	ENST00000545799.5	256	4049
PB.8639.8	ENST00000537045.5	256	3797
PB.8639.8	PB.124744.2	256	3426
PB.8639.8	PB.130824.1	256	3426
PB.150485.3	ENST00000537045.5	0	2643
PB.150485.3	ENST00000545799.5	256	2494
PB.150485.3	ENST00000263196.12	256	2482
PB.60588.1	PB.22978.2	0	1208
PB.60588.1	ENST00000263196.12	256	1208
PB.60588.1	ENST00000545799.5	256	1188
PB.60588.1	PB.137296.4	256	1175
PB.60588.1	PB.22978.1	256	1174
PB.60588.1	ENST00000537045.5	256	936
PB.130824.2	ENST00000545799.5	0	1229
PB.130824.2	ENST00000263196.12	256	1212
PB.130824.2	PB.22978.2	256	1207
PB.130824.2	PB.137296.4	256	1194
PB.130824.2	PB.22978.1	256	1173
PB.130824.2	ENST00000537045.5	256	977
PB.30368.1	PB.137296.4	0	761
PB.30368.1	ENST00000545799.5	256	737
PB.30368.1	PB.22978.1	256	741
PB.30368.1	ENST00000263196.12	256	723
PB.30368.1	PB.22978.2	256	718
PB.22979.1	PB.45365.1	0	1557
PB.22979.1	ENST00000252137.11	256	1557
PB.22979.1	PB.60589.1	256	1548
PB.22979.1	PB.45365.2	256	1437
PB.30369.1	PB.45365.1	0	1553
PB.30369.1	ENST00000252137.11	256	1553
PB.30369.1	PB.60589.1	256	1544
PB.30369.1	PB.45365.2	256	1435
PB.75676.1	PB.130825.1	0	1292
PB.75676.1	ENST00000340170.8	256	1292
PB.75676.1	ENST00000263208.5	256	1292
PB.75676.1	PB.137298.1	256	1291
PB.83104.1	ENST00000340170.8	0	1099
PB.83104.1	PB.130825.1	256	1099
PB.83104.1	ENST00000263208.5	256	1099
PB.83104.1	PB.137298.1	256	1099
PB.8641.1	ENST00000263208.5	0	3757
PB.8641.1	PB.130825.1	256	3335
PB.8641.1	PB.137298.1	256	3118
PB.8641.1	ENST00000340170.8	256	2489
PB.124747.1		4	0
PB.60592.2		4	0
PB.83105.1	PB.68195.2	0	677
PB.75677.1	ENST00000399562.9	0	804
PB.75677.1	ENST00000399568.5	256	804
PB.75677.1	PB.45366.1	256	804
PB.96078.1	PB.75677.2	0	599
PB.96078.1	ENST00000399562.9	256	596
PB.96078.1	PB.45366.1	2048	203
PB.96078.1	ENST00000399562.9	256	203
PB.30372.2		4	0
PB.3804.2	PB.3804.1	0	5009
PB.96079.1	PB.83107.2	0	682
PB.96079.1	ENST00000263202.15	256	682
PB.96079.1	PB.83107.4	256	682
PB.96079.1	PB.103694.1	256	682
PB.96079.1	PB.83107.3	256	682
PB.96079.1	PB.96079.3	256	680
PB.96079.2	PB.96079.3	0	845
PB.96079.2	PB.83107.4	256	835
PB.96079.2	PB.83107.2	256	834
PB.96079.2	PB.83107.3	256	834
PB.96079.2	ENST00000263202.15	256	834
PB.96079.2	ENST00000399523.5	256	702
PB.124749.1	PB.83107.3	0	547
PB.124749.1	ENST00000263202.15	256	547
PB.124749.1	PB.96079.3	256	547
PB.124749.1	PB.83107.4	256	547
PB.124749.1	PB.103694.1	256	547
PB.124749.1	PB.83107.2	256	547
PB.22984.1	PB.83107.4	0	569
PB.22984.1	PB.3804.1	256	517
PB.22984.1	ENST00000263202.15	256	517
PB.22984.1	PB.83107.2	256	517
PB.22984.1	ENST00000399523.5	256	504
PB.30374.1	ENST00000437685.6	0	1842
PB.30374.1	ENST00000263201.7	256	1870
PB.30374.1	PB.30374.3	256	1794
PB.30374.1	PB.30374.7	256	1668
PB.30374.1	PB.30374.8	256	1772
PB.30374.1	ENST00000407835.6	256	1771
PB.88763.1	PB.30374.5	0	690
PB.88763.1	PB.30374.6	256	674
PB.88763.1	PB.30374.8	256	669
PB.88763.1	PB.68198.2	256	669
PB.37835.1	PB.30374.7	0	1746
PB.37835.1	ENST00000437685.6	256	1731
PB.37835.1	ENST00000263201.7	256	1816
PB.37835.1	PB.30374.3	256	1740
PB.37835.1	PB.30374.8	256	1718
PB.37835.1	PB.30374.5	256	1589
PB.45368.1	PB.30374.8	0	1536
PB.45368.1	PB.30374.6	256	1454
PB.45368.1	PB.30374.5	256	1429
PB.45368.1	PB.30374.3	256	1228
PB.45368.1	ENST00000263201.7	256	1305
PB.45368.1	ENST00000437685.6	256	1183
PB.45368.2	PB.30374.3	0	1634
PB.45368.2	ENST00000263201.7	256	1684
PB.45368.2	ENST00000437685.6	256	1589
PB.45368.2	PB.30374.7	256	1474
PB.45368.2	PB.30374.8	256	1586
PB.45368.2	PB.30374.6	256	1505
PB.37835.2	ENST00000263201.7	0	1775
PB.37835.2	PB.30374.3	256	1698
PB.37835.2	ENST00000437685.6	256	1679
PB.37835.2	PB.30374.7	256	1572
PB.37835.2	PB.30374.8	256	1677
PB.37835.2	PB.30374.6	256	1574
PB.52895.1	ENST00000404724.7	0	1481
PB.52895.1	ENST00000263201.7	256	1487
PB.52895.1	PB.30374.8	256	1487
PB.52895.1	PB.30374.3	256	1384
PB.52895.1	ENST00000437685.6	256	1365
PB.52895.1	PB.30374.7	256	1280
PB.45368.3	PB.30374.3	0	1450
PB.45368.3	ENST00000263201.7	256	1505
PB.45368.3	ENST00000437685.6	256	1409
PB.45368.3	PB.30374.8	256	1407
PB.45368.3	PB.30374.6	256	1316
PB.45368.3	PB.30374.7	256	1414
PB.45368.4	ENST00000263201.7	0	1828
PB.45368.4	PB.30374.3	256	1740
PB.45368.4	ENST00000437685.6	256	1722
PB.45368.4	PB.30374.7	256	1617
PB.45368.4	PB.30374.8	256	1781
PB.45368.4	ENST00000407835.6	256	1780
PB.22985.1	PB.30374.8	0	1862
PB.22985.1	PB.30374.6	256	1761
PB.22985.1	PB.30374.5	256	1749
PB.22985.1	ENST00000437685.6	256	1829
PB.22985.1	ENST00000263201.7	256	1631
PB.22985.1	PB.30374.3	256	1528
PB.130827.2	PB.130827.1	0	3241
PB.45368.5	ENST00000263201.7	0	1657
PB.45368.5	ENST00000437685.6	256	1535
PB.45368.5	PB.30374.3	256	1554
PB.45368.5	PB.30374.7	256	1448
PB.45368.5	PB.30374.8	256	1627
PB.45368.5	PB.30374.6	256	1521
PB.52895.2	PB.30374.8	0	1525
PB.52895.2	ENST00000263201.7	256	1525
PB.52895.2	ENST00000437685.6	256	1406
PB.52895.2	PB.30374.3	256	1421
PB.52895.2	PB.30374.7	256	1316
PB.52895.2	ENST00000404724.7	256	1461
PB.96081.1	PB.52896.1	0	762
PB.96081.1	PB.45369.1	256	762
PB.96081.1	PB.164519.2	256	762
PB.96081.1	ENST00000438754.6	256	762
PB.96081.1	ENST00000455784.7	256	762
PB.96081.1	PB.157393.2	256	762
PB.15679.1	PB.157393.1	0	2171
PB.15679.1	PB.157393.2	256	2060
PB.15679.1	PB.130828.1	256	2058
PB.15679.1	PB.150487.1	256	1987
PB.15679.1	PB.143807.1	256	1876
PB.15679.1	ENST00000455784.7	256	1692
PB.30375.1	ENST00000455784.7	0	1997
PB.30375.1	ENST00000455843.5	256	1893
PB.30375.1	PB.30375.3	256	1892
PB.30375.1	PB.15679.2	256	1782
PB.30375.1	ENST00000438754.6	256	1853
PB.30375.1	ENST00000406395.5	256	1912
PB.22986.1	ENST00000455843.5	0	2041
PB.22986.1	PB.15679.2	256	1930
PB.22986.1	PB.157393.1	256	1736
PB.22986.1	ENST00000438754.6	256	1999
PB.22986.1	PB.164519.2	256	1770
PB.22986.1	PB.157393.2	256	1622
PB.22986.2	ENST00000455843.5	0	2095
PB.22986.2	PB.15679.2	256	1984
PB.22986.2	PB.157393.1	256	1790
PB.22986.2	ENST00000438754.6	256	2055
PB.22986.2	PB.164519.2	256	1826
PB.22986.2	PB.157393.2	256	1678
PB.83109.1	ENST00000329517.11	0	868
PB.83109.1	PB.83109.2	256	867
PB.83109.1	PB.60595.1	256	867
PB.83109.1	PB.75678.1	256	865
PB.83109.1	PB.52897.2	256	864
PB.83109.1	ENST00000403325.5	256	863
PB.68200.1	PB.60595.1	0	1187
PB.68200.1	ENST00000329517.11	256	1176
PB.68200.1	PB.52897.2	256	1119
PB.68200.1	ENST00000403325.5	256	1118
PB.68200.1	PB.75678.1	256	1027
PB.60595.2	PB.52897.2	0	1481
PB.60595.2	ENST00000329517.11	256	1399
PB.60595.2	PB.60595.1	256	1399
PB.60595.2	ENST00000403325.5	256	1396
PB.60595.3	ENST00000403325.5	0	1390
PB.60595.3	PB.52897.2	256	1124
PB.60595.3	PB.60595.1	256	1116
PB.60595.3	ENST00000329517.11	256	1116
PB.157395.2	ENST00000405640.1	0	2533
PB.157395.2	ENST00000328554.9	256	2267
PB.157395.2	PB.164520.1	256	2226
PB.157395.2	ENST00000407472.5	256	2226
PB.157395.2	PB.15680.1	256	2208
PB.157395.3	ENST00000328554.9	0	2475
PB.157395.3	ENST00000407472.5	256	2347
PB.157395.3	ENST00000405640.1	256	2347
PB.157395.3	PB.164520.1	256	2347
PB.157395.3	PB.15680.1	256	2265
PB.30377.1	ENST00000400521.7	0	1884
PB.30377.1	ENST00000400525.6	256	1722
PB.30377.1	ENST00000400518.5	256	1773
PB.30377.1	ENST00000542719.6	256	1770
PB.30377.1	ENST00000400519.6	256	1569
PB.96083.1	ENST00000542719.6	0	968
PB.96083.1	ENST00000400518.5	256	968
PB.96083.1	ENST00000400525.6	256	964
PB.96083.1	ENST00000400521.7	256	964
PB.96083.1	ENST00000462330.5	256	841
PB.45372.2	ENST00000400518.5	0	1753
PB.45372.2	ENST00000400521.7	256	1753
PB.45372.2	ENST00000542719.6	256	1753
PB.45372.2	ENST00000400525.6	256	1697
PB.45372.2	ENST00000400519.6	256	1469
PB.45372.1	ENST00000400521.7	0	1665
PB.45372.1	ENST00000400525.6	256	1503
PB.45372.1	ENST00000400518.5	256	1549
PB.45372.1	ENST00000542719.6	256	1547
PB.45372.1	ENST00000400519.6	256	1351
PB.37837.1	ENST00000400521.7	0	1813
PB.37837.1	ENST00000400525.6	256	1651
PB.37837.1	ENST00000400518.5	256	1697
PB.37837.1	ENST00000542719.6	256	1695
PB.37837.1	ENST00000400519.6	256	1499
PB.60597.1	ENST00000400521.7	0	1515
PB.60597.1	ENST00000542719.6	256	1515
PB.60597.1	ENST00000400525.6	256	1515
PB.60597.1	ENST00000400518.5	256	1515
PB.60597.1	ENST00000400519.6	256	1232
PB.143809.1	ENST00000400521.7	0	852
PB.143809.1	ENST00000334363.14	256	1836
PB.143809.1	ENST00000491939.6	256	1797
PB.143809.1	ENST00000400525.6	256	688
PB.143809.1	ENST00000400518.5	256	736
PB.143809.1	ENST00000542719.6	256	734
PB.37837.3	ENST00000400521.7	0	1718
PB.37837.3	ENST00000400525.6	256	1556
PB.37837.3	ENST00000400518.5	256	1602
PB.37837.3	ENST00000542719.6	256	1600
PB.37837.3	ENST00000400519.6	256	1500
PB.37837.2	ENST00000400521.7	0	1742
PB.37837.2	ENST00000400518.5	256	1639
PB.37837.2	ENST00000542719.6	256	1639
PB.37837.2	ENST00000400519.6	256	1429
PB.37837.2	ENST00000400525.6	256	1656
PB.137301.1	ENST00000400519.6	0	3082
PB.143809.2	ENST00000400521.7	0	1045
PB.143809.2	ENST00000400519.6	256	1015
PB.143809.2	ENST00000400525.6	256	883
PB.143809.2	ENST00000400518.5	256	929
PB.143809.2	ENST00000542719.6	256	927
PB.143809.2	ENST00000334363.14	256	893
PB.30377.3	ENST00000334363.14	0	1690
PB.30377.3	ENST00000491939.6	256	1606
PB.37837.4	ENST00000334363.14	0	1836
PB.37837.4	ENST00000491939.6	256	1749
PB.75679.2	PB.75679.1	0	1223
PB.75679.2	ENST00000361682.11	256	1223
PB.75679.2	PB.75679.3	256	1125
PB.75679.2	ENST00000678769.1	256	1057
PB.75679.2	ENST00000678868.1	256	1170
PB.75679.2	PB.60596.1	256	1107
PB.68201.4	PB.75679.1	0	1200
PB.68201.4	ENST00000361682.11	256	1200
PB.68201.4	ENST00000678769.1	256	1081
PB.68201.4	PB.75679.3	256	1116
PB.68201.4	ENST00000678255.1	256	1109
PB.68201.4	ENST00000678868.1	256	1007
PB.83111.1	PB.75679.3	0	897
PB.83111.1	ENST00000361682.11	256	800
PB.83111.1	PB.75679.1	256	800
PB.83111.1	PB.52898.1	256	740
PB.83111.1	ENST00000678769.1	256	677
PB.83111.1	ENST00000678868.1	256	734
PB.68201.5	ENST00000678255.1	0	1300
PB.68201.5	PB.30376.1	256	1300
PB.68201.5	PB.60596.1	256	1298
PB.68201.5	PB.52898.1	256	1216
PB.68201.5	ENST00000403710.5	256	1231
PB.68201.5	PB.15681.3	256	433
PB.124751.1	ENST00000263207.8	0	3216
PB.88764.1	ENST00000263207.8	0	3724
PB.124751.2	ENST00000263207.8	0	3482
PB.88764.2	ENST00000263207.8	0	3514
PB.37839.1	ENST00000263207.8	0	1646
PB.22988.1	ENST00000263207.8	0	1972
PB.124751.3	ENST00000263207.8	0	3447
PB.83112.1	ENST00000263207.8	0	226
PB.37840.1	ENST00000432883.5	0	1729
PB.37840.1	PB.22989.3	256	1577
PB.37840.1	ENST00000420290.6	256	1741
PB.37840.1	ENST00000327374.9	256	1545
PB.37840.1	PB.15682.1	256	1593
PB.37840.1	ENST00000398042.6	256	1609
PB.22989.2	PB.15682.1	0	1957
PB.22989.2	PB.164521.1	256	1817
PB.22989.2	ENST00000456048.5	256	1817
PB.22989.2	PB.157396.1	256	1635
PB.22989.2	ENST00000434570.6	256	1761
PB.22989.2	PB.22989.1	256	1837
PB.124752.1	ENST00000327374.9	0	2844
PB.164521.3	ENST00000327374.9	0	679
PB.164521.3	PB.22989.3	256	543
PB.164521.3	PB.15682.5	256	543
PB.164521.3	ENST00000401833.5	256	451
PB.30378.3	ENST00000434570.6	0	1891
PB.30378.3	PB.15682.1	256	1747
PB.30378.3	ENST00000456048.5	256	1606
PB.30378.3	PB.164521.1	256	1606
PB.30378.3	PB.157396.1	256	1450
PB.30378.3	PB.22989.1	256	1635
PB.37840.3	PB.15682.1	0	1923
PB.37840.3	ENST00000432883.5	256	1923
PB.37840.3	PB.22989.3	256	1782
PB.37840.3	ENST00000456048.5	256	1782
PB.37840.3	ENST00000327374.9	256	1782
PB.37840.3	PB.164521.1	256	1782
PB.30378.1	ENST00000432883.5	0	2031
PB.30378.1	PB.22989.3	256	1901
PB.30378.1	ENST00000327374.9	256	1868
PB.30378.1	PB.15682.5	256	1706
PB.30378.1	PB.15682.1	256	1906
PB.30378.1	PB.164521.1	256	1776
PB.30378.2	PB.22989.3	0	1833
PB.30378.2	ENST00000327374.9	256	1800
PB.30378.2	PB.15682.5	256	1638
PB.30378.2	PB.164521.1	256	1708
PB.30378.2	ENST00000456048.5	256	1708
PB.30378.2	PB.157396.1	256	1525
PB.22989.4	ENST00000327374.9	0	1886
PB.22989.4	ENST00000432883.5	256	1969
PB.22989.4	PB.22989.3	256	1828
PB.22989.4	PB.15682.5	256	1646
PB.22989.4	PB.15682.1	256	1877
PB.22989.4	PB.164521.1	256	1736
PB.15682.3	ENST00000456048.5	0	2069
PB.15682.3	PB.164521.1	256	2069
PB.15682.3	PB.157396.1	256	1886
PB.15682.3	ENST00000434570.6	256	2013
PB.15682.3	PB.15682.1	256	1813
PB.15682.3	PB.22989.1	256	1758
PB.30378.4	ENST00000327374.9	0	1872
PB.30378.4	PB.30378.6	256	1948
PB.30378.4	ENST00000398042.6	256	1948
PB.30378.4	ENST00000432883.5	256	1851
PB.30378.4	PB.22989.3	256	1736
PB.30378.4	ENST00000447208.6	256	1692
PB.15682.4	ENST00000327374.9	0	2210
PB.15682.4	PB.22989.3	256	2074
PB.15682.4	PB.15682.5	256	1892
