artifact	assigned_transcript	rescue_mode	origin	reintroduced
PB.68206.1	ENST00000436075.1	automatic	reference	yes
PB.68270.4	ENST00000414461.6	automatic	reference	yes
PB.68276.2	ENST00000404802.7	automatic	reference	yes
PB.68276.3	ENST00000429360.6	automatic	reference	no
PB.68320.1	ENST00000466237.2	automatic	reference	no
PB.75669.1	ENST00000317361.11	automatic	reference	yes
PB.75679.4	ENST00000428707.2	automatic	reference	yes
PB.75680.1	ENST00000334363.14	automatic	reference	no
PB.75719.1	ENST00000333395.10	automatic	reference	no
PB.75819.1	ENST00000407217.7	automatic	reference	yes
PB.83107.1	ENST00000399523.5	automatic	reference	yes
PB.83113.1	ENST00000408439.3	automatic	reference	yes
PB.83158.1	ENST00000399824.6	automatic	reference	yes
PB.83268.1	ENST00000413817.8	automatic	reference	no
PB.83272.4	ENST00000535425.5	automatic	reference	yes
PB.88774.5	ENST00000680860.1	automatic	reference	yes
PB.88803.1	ENST00000608952.1	automatic	reference	yes
PB.88823.1	ENST00000361684.8	automatic	reference	yes
PB.88825.4	ENST00000405510.5	automatic	reference	yes
PB.88837.1	ENST00000466237.2	automatic	reference	no
PB.96069.4	ENST00000608286.1	automatic	reference	yes
PB.96083.2	ENST00000462330.5	automatic	reference	yes
PB.96090.2	ENST00000452055.5	automatic	reference	yes
PB.96135.1	ENST00000355143.8	automatic	reference	yes
PB.96156.4	ENST00000416967.1	automatic	reference	yes
PB.103689.2	ENST00000614949.4	automatic	reference	yes
PB.103718.1	ENST00000484558.3	automatic	reference	yes
PB.111560.1	ENST00000608842.1	automatic	reference	yes
PB.111570.1	ENST00000452055.5	automatic	reference	no
PB.111607.1	ENST00000399824.6	automatic	reference	no
PB.124752.2	ENST00000327374.9	automatic	reference	yes
PB.124765.1	ENST00000406385.1	automatic	reference	yes
PB.124791.2	ENST00000403987.3	automatic	reference	yes
PB.124830.2	ENST00000623458.1	automatic	reference	yes
PB.124841.1	ENST00000466237.2	automatic	reference	no
PB.124866.2	ENST00000311597.10	automatic	reference	yes
PB.130818.1	ENST00000610390.4	automatic	reference	yes
PB.130822.1	ENST00000450866.1	automatic	reference	yes
PB.130857.8	ENST00000402766.5	automatic	reference	yes
PB.130876.3	ENST00000412277.6	automatic	reference	yes
PB.130879.2	ENST00000266269.10	automatic	reference	yes
PB.130911.2	ENST00000216083.6	automatic	reference	yes
PB.130914.3	ENST00000404569.5	automatic	reference	yes
PB.130922.1	ENST00000658453.1	automatic	reference	yes
PB.130932.2	ENST00000403363.5	automatic	reference	yes
PB.130934.2	ENST00000451060.6	automatic	reference	yes
PB.130935.2	ENST00000403744.7	automatic	reference	yes
PB.137302.1	ENST00000420290.6	automatic	reference	yes
PB.137307.3	ENST00000382974.6	automatic	reference	yes
PB.137350.2	ENST00000347557.6	automatic	reference	yes
PB.137350.5	ENST00000358743.5	automatic	reference	yes
PB.137367.1	ENST00000403888.7	automatic	reference	no
PB.137385.2	ENST00000404569.5	automatic	reference	no
PB.143802.1	ENST00000623543.1	automatic	reference	yes
PB.143804.2	ENST00000537045.5	automatic	reference	yes
PB.143822.3	ENST00000680860.1	automatic	reference	no
PB.143845.1	ENST00000585003.1	automatic	reference	yes
PB.143850.1	ENST00000310624.7	automatic	reference	yes
PB.143883.6	ENST00000381756.9	automatic	reference	yes
PB.143930.2	ENST00000623075.1	automatic	reference	yes
PB.150554.1	ENST00000426053.5	automatic	reference	yes
PB.150637.5	ENST00000216080.5	automatic	reference	yes
PB.157395.1	ENST00000328554.9	automatic	reference	yes
PB.157398.5	ENST00000439169.2	automatic	reference	yes
PB.157446.2	ENST00000397872.5	automatic	reference	yes
PB.157516.1	ENST00000516104.1	automatic	reference	yes
PB.157535.1	ENST00000564152.1	automatic	reference	yes
PB.164559.5	ENST00000397871.5	automatic	reference	yes
PB.164562.2	ENST00000323630.9	automatic	reference	no
PB.164573.1	ENST00000405309.7	automatic	reference	yes
PB.164577.1	ENST00000400242.8	automatic	reference	yes
PB.164638.1	ENST00000649288.1	automatic	reference	yes
PB.164647.1	ENST00000393264.2	automatic	reference	yes
PB.164658.7	ENST00000474879.7	automatic	reference	yes
PB.103688.1	PB.96072.1	ml_mapping	lr_defined	no
PB.103690.1	ENST00000612978.5	ml_mapping	reference	yes
PB.103690.2	PB.103704.1	ml_mapping	lr_defined	no
PB.103704.2	ENST00000452055.5	ml_mapping	reference	no
PB.103707.1	ENST00000354336.8	ml_mapping	reference	yes
PB.103709.1	PB.96101.1	ml_mapping	lr_defined	no
PB.103709.3	PB.96101.1	ml_mapping	lr_defined	no
PB.103715.1	PB.137316.2	ml_mapping	lr_defined	no
PB.103719.1	ENST00000318109.12	ml_mapping	reference	yes
PB.103720.2	PB.103720.1	ml_mapping	lr_defined	no
PB.103728.2	PB.103728.1	ml_mapping	lr_defined	no
PB.103732.1	PB.45417.1	ml_mapping	lr_defined	no
PB.103757.1	ENST00000216185.7	ml_mapping	reference	yes
PB.103761.1	ENST00000417718.7	ml_mapping	reference	yes
PB.103763.1	PB.96160.1	ml_mapping	lr_defined	no
PB.103768.1	PB.83189.2	ml_mapping	lr_defined	no
PB.103784.3	PB.68302.2	ml_mapping	lr_defined	no
PB.103787.1	PB.96186.1	ml_mapping	lr_defined	no
PB.103793.1	PB.103793.2	ml_mapping	lr_defined	no
PB.103795.1	PB.83230.1	ml_mapping	lr_defined	no
PB.103795.2	PB.83230.1	ml_mapping	lr_defined	no
PB.103802.1	PB.96200.1	ml_mapping	lr_defined	no
PB.103804.2	PB.103804.1	ml_mapping	lr_defined	no
PB.103805.1	ENST00000669665.1	ml_mapping	reference	yes
PB.103811.1	PB.96205.2	ml_mapping	lr_defined	no
PB.111553.1	ENST00000441006.5	ml_mapping	reference	yes
PB.111574.1	ENST00000444039.1	ml_mapping	reference	yes
PB.111584.1	ENST00000215754.8	ml_mapping	reference	yes
PB.111585.1	ENST00000398344.9	ml_mapping	reference	yes
PB.111622.1	PB.164581.4	ml_mapping	lr_defined	no
PB.111638.1	ENST00000442738.7	ml_mapping	reference	yes
PB.111653.1	PB.68302.2	ml_mapping	lr_defined	no
PB.111653.2	PB.75774.2	ml_mapping	lr_defined	no
PB.111658.1	ENST00000335727.13	ml_mapping	reference	yes
PB.111659.1	ENST00000335727.13	ml_mapping	reference	no
PB.111664.1	PB.103793.2	ml_mapping	lr_defined	no
PB.111664.2	PB.103793.2	ml_mapping	lr_defined	no
PB.111692.1	PB.150621.1	ml_mapping	lr_defined	no
PB.118958.1	PB.103767.2	ml_mapping	lr_defined	no
PB.118986.1	PB.3853.1	ml_mapping	lr_defined	no
PB.124736.3	PB.137290.2	ml_mapping	lr_defined	no
PB.124736.4	PB.137290.2	ml_mapping	lr_defined	no
PB.124749.1	PB.83107.2	ml_mapping	lr_defined	no
PB.124751.1	ENST00000263207.8	ml_mapping	reference	yes
PB.124751.2	ENST00000263207.8	ml_mapping	reference	no
PB.124751.3	ENST00000263207.8	ml_mapping	reference	no
PB.124755.1	ENST00000400451.7	ml_mapping	reference	yes
PB.124755.2	ENST00000400451.7	ml_mapping	reference	no
PB.124768.2	PB.88777.1	ml_mapping	lr_defined	no
PB.124770.1	ENST00000263116.8	ml_mapping	reference	yes
PB.124770.3	ENST00000263116.8	ml_mapping	reference	no
PB.124776.2	PB.130858.2	ml_mapping	lr_defined	no
PB.124778.1	ENST00000398145.7	ml_mapping	reference	yes
PB.124783.1	ENST00000249064.9	ml_mapping	reference	yes
PB.124787.3	PB.88800.3	ml_mapping	lr_defined	no
PB.124788.2	ENST00000310624.7	ml_mapping	reference	no
PB.124796.1	PB.88804.3	ml_mapping	lr_defined	no
PB.124796.3	PB.88804.3	ml_mapping	lr_defined	no
PB.124796.4	PB.88804.3	ml_mapping	lr_defined	no
PB.124799.4	PB.130875.5	ml_mapping	lr_defined	no
PB.124800.1	PB.130876.2	ml_mapping	lr_defined	no
PB.124802.3	ENST00000397523.5	ml_mapping	reference	yes
PB.124802.4	ENST00000397523.5	ml_mapping	reference	no
PB.124802.5	ENST00000397523.5	ml_mapping	reference	no
PB.124803.1	PB.88808.6	ml_mapping	lr_defined	no
PB.124804.1	PB.164576.2	ml_mapping	lr_defined	no
PB.124804.2	PB.164576.2	ml_mapping	lr_defined	no
PB.124806.1	PB.30441.1	ml_mapping	lr_defined	no
PB.124809.1	PB.157472.2	ml_mapping	lr_defined	no
PB.124813.1	PB.8689.3	ml_mapping	lr_defined	no
PB.124813.2	PB.8689.3	ml_mapping	lr_defined	no
PB.124813.4	PB.8689.3	ml_mapping	lr_defined	no
PB.124817.1	PB.88819.2	ml_mapping	lr_defined	no
PB.124817.2	PB.88819.2	ml_mapping	lr_defined	no
PB.124821.1	PB.137374.2	ml_mapping	lr_defined	no
PB.124822.1	PB.124822.2	ml_mapping	lr_defined	no
PB.124822.3	PB.124822.2	ml_mapping	lr_defined	no
PB.124822.4	PB.124822.2	ml_mapping	lr_defined	no
PB.124822.5	PB.124822.2	ml_mapping	lr_defined	no
PB.124822.6	PB.124822.2	ml_mapping	lr_defined	no
PB.124822.7	PB.124822.2	ml_mapping	lr_defined	no
PB.124822.8	PB.124822.2	ml_mapping	lr_defined	no
PB.124823.1	PB.150569.3	ml_mapping	lr_defined	no
PB.124824.1	ENST00000216039.9	ml_mapping	reference	yes
PB.124831.1	ENST00000325301.7	ml_mapping	reference	yes
PB.124833.2	ENST00000344138.9	ml_mapping	reference	yes
PB.124833.3	PB.130916.3	ml_mapping	lr_defined	no
PB.124838.2	ENST00000216237.10	ml_mapping	reference	yes
PB.124842.1	PB.150603.3	ml_mapping	lr_defined	no
PB.124843.1	ENST00000396398.8	ml_mapping	reference	yes
PB.124843.3	ENST00000396398.8	ml_mapping	reference	no
PB.124845.1	ENST00000323013.7	ml_mapping	reference	yes
PB.124846.2	PB.124846.1	ml_mapping	lr_defined	no
PB.124846.3	PB.124846.1	ml_mapping	lr_defined	no
PB.124848.4	PB.130937.2	ml_mapping	lr_defined	no
PB.124849.2	PB.23109.1	ml_mapping	lr_defined	no
PB.124850.1	ENST00000338758.12	ml_mapping	reference	yes
PB.124851.1	ENST00000347635.9	ml_mapping	reference	yes
PB.124865.1	PB.88864.1	ml_mapping	lr_defined	no
PB.124866.1	ENST00000311597.10	ml_mapping	reference	no
PB.124869.1	PB.124869.4	ml_mapping	lr_defined	no
PB.124869.3	PB.130960.4	ml_mapping	lr_defined	no
PB.124870.2	ENST00000380817.8	ml_mapping	reference	yes
PB.124872.2	PB.88871.1	ml_mapping	lr_defined	no
PB.130815.3	PB.137290.2	ml_mapping	lr_defined	no
PB.130815.5	PB.137290.2	ml_mapping	lr_defined	no
PB.130817.2	ENST00000319363.11	ml_mapping	reference	yes
PB.130819.2	PB.130819.6	ml_mapping	lr_defined	no
PB.130819.3	PB.130819.4	ml_mapping	lr_defined	no
PB.130824.2	PB.137296.4	ml_mapping	lr_defined	no
PB.130827.2	PB.130827.1	ml_mapping	lr_defined	no
PB.130832.2	ENST00000252136.12	ml_mapping	reference	yes
PB.130835.1	PB.124756.4	ml_mapping	lr_defined	no
PB.130835.10	PB.130835.4	ml_mapping	lr_defined	no
PB.130835.11	PB.130835.4	ml_mapping	lr_defined	no
PB.130835.2	PB.130835.4	ml_mapping	lr_defined	no
PB.130835.3	PB.124756.4	ml_mapping	lr_defined	no
PB.130835.7	PB.124756.4	ml_mapping	lr_defined	no
PB.130835.9	PB.124756.4	ml_mapping	lr_defined	no
PB.130836.3	PB.3810.4	ml_mapping	lr_defined	no
PB.130837.1	ENST00000354336.8	ml_mapping	reference	no
PB.130846.1	ENST00000302097.3	ml_mapping	reference	yes
PB.130853.1	PB.137322.3	ml_mapping	lr_defined	no
PB.130854.1	PB.3820.1	ml_mapping	lr_defined	no
PB.130857.1	PB.124775.1	ml_mapping	lr_defined	no
PB.130857.4	PB.124775.1	ml_mapping	lr_defined	no
PB.130857.5	PB.124775.1	ml_mapping	lr_defined	no
PB.130857.6	PB.124775.2	ml_mapping	lr_defined	no
PB.130857.7	PB.124775.2	ml_mapping	lr_defined	no
PB.130857.9	PB.124775.2	ml_mapping	lr_defined	no
PB.130859.1	ENST00000621462.4	ml_mapping	reference	yes
PB.130863.2	ENST00000398145.7	ml_mapping	reference	no
PB.130866.1	PB.130866.2	ml_mapping	lr_defined	no
PB.130867.2	PB.88800.3	ml_mapping	lr_defined	no
PB.130867.5	PB.88800.3	ml_mapping	lr_defined	no
PB.130873.1	PB.88804.3	ml_mapping	lr_defined	no
PB.130873.2	PB.88804.2	ml_mapping	lr_defined	no
PB.130873.3	PB.88804.3	ml_mapping	lr_defined	no
PB.130875.3	PB.130875.5	ml_mapping	lr_defined	no
PB.130875.7	PB.130875.5	ml_mapping	lr_defined	no
PB.130876.1	PB.130876.2	ml_mapping	lr_defined	no
PB.130877.1	ENST00000326132.11	ml_mapping	reference	yes
PB.130877.2	ENST00000326132.11	ml_mapping	reference	no
PB.130877.3	ENST00000326132.11	ml_mapping	reference	no
PB.130877.4	ENST00000326132.11	ml_mapping	reference	no
PB.130877.6	ENST00000326132.11	ml_mapping	reference	no
PB.130877.7	ENST00000326132.11	ml_mapping	reference	no
PB.130878.3	ENST00000331728.9	ml_mapping	reference	yes
PB.130879.1	ENST00000351933.8	ml_mapping	reference	yes
PB.130881.1	PB.88808.3	ml_mapping	lr_defined	no
PB.130881.2	PB.88808.6	ml_mapping	lr_defined	no
PB.130882.1	PB.164576.2	ml_mapping	lr_defined	no
PB.130890.4	PB.3841.13	ml_mapping	lr_defined	no
PB.130890.7	ENST00000216181.11	ml_mapping	reference	yes
PB.130896.1	PB.137369.1	ml_mapping	lr_defined	no
PB.130897.1	PB.88819.2	ml_mapping	lr_defined	no
PB.130898.1	PB.143883.7	ml_mapping	lr_defined	no
PB.130898.3	PB.143883.7	ml_mapping	lr_defined	no
PB.130901.1	PB.124820.1	ml_mapping	lr_defined	no
PB.130903.1	PB.137374.1	ml_mapping	lr_defined	no
PB.130904.2	PB.124822.2	ml_mapping	lr_defined	no
PB.130913.1	PB.130913.2	ml_mapping	lr_defined	no
PB.130914.4	PB.130914.1	ml_mapping	lr_defined	no
PB.130918.1	PB.8707.2	ml_mapping	lr_defined	no
PB.130921.2	ENST00000216237.10	ml_mapping	reference	no
PB.130921.3	ENST00000216237.10	ml_mapping	reference	no
PB.130923.3	PB.88833.2	ml_mapping	lr_defined	no
PB.130927.1	PB.137396.1	ml_mapping	lr_defined	no
PB.130927.2	PB.124841.2	ml_mapping	lr_defined	no
PB.130928.1	ENST00000355209.9	ml_mapping	reference	yes
PB.130929.1	ENST00000263256.7	ml_mapping	reference	yes
PB.130929.2	ENST00000263256.7	ml_mapping	reference	no
PB.130929.3	ENST00000263256.7	ml_mapping	reference	no
PB.130929.4	ENST00000263256.7	ml_mapping	reference	no
PB.130931.1	PB.8715.6	ml_mapping	lr_defined	no
PB.130931.2	PB.8715.2	ml_mapping	lr_defined	no
PB.130931.5	ENST00000361204.9	ml_mapping	reference	yes
PB.130932.1	ENST00000396398.8	ml_mapping	reference	no
PB.130932.5	PB.130932.4	ml_mapping	lr_defined	no
PB.130933.1	PB.37960.3	ml_mapping	lr_defined	no
PB.130934.10	PB.130934.6	ml_mapping	lr_defined	no
PB.130934.11	PB.130934.6	ml_mapping	lr_defined	no
PB.130934.12	PB.130934.6	ml_mapping	lr_defined	no
PB.130934.13	PB.124846.1	ml_mapping	lr_defined	no
PB.130934.3	PB.124846.1	ml_mapping	lr_defined	no
PB.130934.4	PB.124846.1	ml_mapping	lr_defined	no
PB.130934.5	PB.124846.1	ml_mapping	lr_defined	no
PB.130934.7	PB.124846.1	ml_mapping	lr_defined	no
PB.130934.8	PB.124846.1	ml_mapping	lr_defined	no
PB.130934.9	PB.124846.1	ml_mapping	lr_defined	no
PB.130935.4	PB.130935.3	ml_mapping	lr_defined	no
PB.130935.5	PB.130935.3	ml_mapping	lr_defined	no
PB.130935.7	PB.130935.3	ml_mapping	lr_defined	no
PB.130935.8	ENST00000263246.8	ml_mapping	reference	yes
PB.130937.1	PB.130937.2	ml_mapping	lr_defined	no
PB.130938.1	ENST00000422871.5	ml_mapping	reference	yes
PB.130944.1	PB.124854.1	ml_mapping	lr_defined	no
PB.130945.1	PB.150620.3	ml_mapping	lr_defined	no
PB.130960.1	PB.124869.4	ml_mapping	lr_defined	no
PB.130960.2	PB.124869.4	ml_mapping	lr_defined	no
PB.130960.3	PB.124869.4	ml_mapping	lr_defined	no
PB.130963.3	PB.130963.9	ml_mapping	lr_defined	no
PB.130963.5	PB.130963.9	ml_mapping	lr_defined	no
PB.130963.7	PB.130963.6	ml_mapping	lr_defined	no
PB.130963.8	PB.130963.6	ml_mapping	lr_defined	no
PB.130964.3	ENST00000420993.7	ml_mapping	reference	yes
PB.130966.2	PB.130966.1	ml_mapping	lr_defined	no
PB.137290.1	PB.137290.2	ml_mapping	lr_defined	no
PB.137290.3	PB.137290.2	ml_mapping	lr_defined	no
PB.137291.1	ENST00000319363.11	ml_mapping	reference	no
PB.137292.1	PB.88755.1	ml_mapping	lr_defined	no
PB.137294.1	PB.130819.4	ml_mapping	lr_defined	no
PB.137294.3	PB.137294.2	ml_mapping	lr_defined	no
PB.137294.6	PB.130819.6	ml_mapping	lr_defined	no
PB.137296.1	PB.124744.2	ml_mapping	lr_defined	no
PB.137296.2	PB.124744.2	ml_mapping	lr_defined	no
PB.137307.1	PB.124756.4	ml_mapping	lr_defined	no
PB.137307.10	PB.130835.4	ml_mapping	lr_defined	no
PB.137307.11	PB.130835.4	ml_mapping	lr_defined	no
PB.137307.2	PB.130835.4	ml_mapping	lr_defined	no
PB.137307.4	PB.130835.4	ml_mapping	lr_defined	no
PB.137307.5	PB.130835.4	ml_mapping	lr_defined	no
PB.137307.6	PB.130835.4	ml_mapping	lr_defined	no
PB.137307.7	PB.124756.4	ml_mapping	lr_defined	no
PB.137307.8	PB.130835.4	ml_mapping	lr_defined	no
PB.137307.9	PB.124756.4	ml_mapping	lr_defined	no
PB.137312.1	ENST00000342192.9	ml_mapping	reference	yes
PB.137316.1	PB.143826.5	ml_mapping	lr_defined	no
PB.137316.3	PB.143826.5	ml_mapping	lr_defined	no
PB.137316.4	PB.143826.5	ml_mapping	lr_defined	no
PB.137322.1	PB.124772.1	ml_mapping	lr_defined	no
PB.137322.4	PB.137322.3	ml_mapping	lr_defined	no
PB.137327.1	PB.124775.2	ml_mapping	lr_defined	no
PB.137329.1	ENST00000621462.4	ml_mapping	reference	no
PB.137330.1	PB.143838.4	ml_mapping	lr_defined	no
PB.137331.2	PB.143839.3	ml_mapping	lr_defined	no
PB.137334.1	PB.88792.1	ml_mapping	lr_defined	no
PB.137341.1	PB.164559.2	ml_mapping	lr_defined	no
PB.137341.2	PB.164559.3	ml_mapping	lr_defined	no
PB.137343.1	PB.143852.2	ml_mapping	lr_defined	no
PB.137343.2	PB.143852.6	ml_mapping	lr_defined	no
PB.137344.4	PB.137344.2	ml_mapping	lr_defined	no
PB.137345.1	PB.157456.2	ml_mapping	lr_defined	no
PB.137346.2	ENST00000334679.4	ml_mapping	reference	yes
PB.137350.3	PB.130875.5	ml_mapping	lr_defined	no
PB.137350.6	PB.137350.4	ml_mapping	lr_defined	no
PB.137350.7	PB.137350.4	ml_mapping	lr_defined	no
PB.137351.2	ENST00000326132.11	ml_mapping	reference	no
PB.137351.3	ENST00000326132.11	ml_mapping	reference	no
PB.137351.4	ENST00000326132.11	ml_mapping	reference	no
PB.137351.5	ENST00000326132.11	ml_mapping	reference	no
PB.137352.1	ENST00000331728.9	ml_mapping	reference	no
PB.137353.3	ENST00000351933.8	ml_mapping	reference	no
PB.137354.1	ENST00000397523.5	ml_mapping	reference	no
PB.137355.1	PB.88808.3	ml_mapping	lr_defined	no
PB.137355.2	PB.88808.3	ml_mapping	lr_defined	no
PB.137357.1	PB.3836.3	ml_mapping	lr_defined	no
PB.137366.3	PB.8689.3	ml_mapping	lr_defined	no
PB.137369.2	PB.137369.1	ml_mapping	lr_defined	no
PB.137371.1	PB.88819.2	ml_mapping	lr_defined	no
PB.137371.3	PB.88819.2	ml_mapping	lr_defined	no
PB.137372.3	PB.143883.7	ml_mapping	lr_defined	no
PB.137376.1	PB.150569.3	ml_mapping	lr_defined	no
PB.137377.1	ENST00000216039.9	ml_mapping	reference	no
PB.137377.2	ENST00000216039.9	ml_mapping	reference	no
PB.137379.2	PB.88825.1	ml_mapping	lr_defined	no
PB.137381.1	PB.137381.3	ml_mapping	lr_defined	no
PB.137381.4	PB.137381.3	ml_mapping	lr_defined	no
PB.137387.1	PB.137387.7	ml_mapping	lr_defined	no
PB.137387.8	PB.137387.7	ml_mapping	lr_defined	no
PB.137392.2	ENST00000216237.10	ml_mapping	reference	no
PB.137392.3	ENST00000216237.10	ml_mapping	reference	no
PB.137392.4	ENST00000216237.10	ml_mapping	reference	no
PB.137393.1	ENST00000455915.6	ml_mapping	reference	yes
PB.137393.2	ENST00000455915.6	ml_mapping	reference	no
PB.137393.3	ENST00000455915.6	ml_mapping	reference	no
PB.137393.5	ENST00000356244.8	ml_mapping	reference	yes
PB.137393.6	ENST00000455915.6	ml_mapping	reference	no
PB.137400.1	ENST00000396398.8	ml_mapping	reference	no
PB.137402.2	PB.130934.6	ml_mapping	lr_defined	no
PB.137405.1	PB.130935.3	ml_mapping	lr_defined	no
PB.137405.2	ENST00000263246.8	ml_mapping	reference	no
PB.137405.4	PB.130935.3	ml_mapping	lr_defined	no
PB.137406.2	PB.130937.2	ml_mapping	lr_defined	no
PB.137409.1	ENST00000441876.7	ml_mapping	reference	yes
PB.137410.2	PB.150621.1	ml_mapping	lr_defined	no
PB.137410.3	PB.150621.1	ml_mapping	lr_defined	no
PB.137410.4	PB.150621.1	ml_mapping	lr_defined	no
PB.137411.1	PB.130947.1	ml_mapping	lr_defined	no
PB.137411.3	PB.130947.1	ml_mapping	lr_defined	no
PB.137411.4	PB.60740.2	ml_mapping	lr_defined	no
PB.137418.1	PB.164650.1	ml_mapping	lr_defined	no
PB.137419.1	PB.164651.1	ml_mapping	lr_defined	no
PB.137421.1	PB.143938.4	ml_mapping	lr_defined	no
PB.137423.1	PB.130960.4	ml_mapping	lr_defined	no
PB.137423.2	PB.130960.4	ml_mapping	lr_defined	no
PB.137423.4	PB.124869.4	ml_mapping	lr_defined	no
PB.137425.1	PB.130963.6	ml_mapping	lr_defined	no
PB.137425.2	PB.130963.6	ml_mapping	lr_defined	no
PB.137425.3	PB.130963.6	ml_mapping	lr_defined	no
PB.137425.5	PB.130963.9	ml_mapping	lr_defined	no
PB.137425.6	PB.130963.9	ml_mapping	lr_defined	no
PB.137426.1	PB.130966.1	ml_mapping	lr_defined	no
PB.143795.2	PB.137290.2	ml_mapping	lr_defined	no
PB.143795.3	PB.137290.2	ml_mapping	lr_defined	no
PB.143795.4	PB.137290.2	ml_mapping	lr_defined	no
PB.143796.1	PB.130816.1	ml_mapping	lr_defined	no
PB.143799.1	PB.137294.4	ml_mapping	lr_defined	no
PB.143812.4	PB.143812.5	ml_mapping	lr_defined	no
PB.143814.1	PB.130835.4	ml_mapping	lr_defined	no
PB.143814.2	PB.130835.4	ml_mapping	lr_defined	no
PB.143814.4	PB.130835.4	ml_mapping	lr_defined	no
PB.143822.1	PB.150505.1	ml_mapping	lr_defined	no
PB.143822.2	PB.45390.1	ml_mapping	lr_defined	no
PB.143826.2	PB.143826.5	ml_mapping	lr_defined	no
PB.143826.3	PB.143826.5	ml_mapping	lr_defined	no
PB.143826.4	PB.143826.5	ml_mapping	lr_defined	no
PB.143827.1	PB.130845.1	ml_mapping	lr_defined	no
PB.143830.1	ENST00000398319.6	ml_mapping	reference	yes
PB.143833.2	PB.124775.2	ml_mapping	lr_defined	no
PB.143834.1	PB.164547.9	ml_mapping	lr_defined	no
PB.143838.1	PB.150518.1	ml_mapping	lr_defined	no
PB.143838.3	ENST00000398145.7	ml_mapping	reference	no
PB.143839.4	PB.143839.3	ml_mapping	lr_defined	no
PB.143841.2	PB.88792.1	ml_mapping	lr_defined	no
PB.143841.3	PB.88792.1	ml_mapping	lr_defined	no
PB.143841.5	PB.88792.1	ml_mapping	lr_defined	no
PB.143849.1	PB.88800.3	ml_mapping	lr_defined	no
PB.143852.1	PB.143852.6	ml_mapping	lr_defined	no
PB.143852.5	PB.143852.6	ml_mapping	lr_defined	no
PB.143852.7	PB.143852.6	ml_mapping	lr_defined	no
PB.143857.1	ENST00000615189.5	ml_mapping	reference	yes
PB.143857.2	ENST00000615189.5	ml_mapping	reference	no
PB.143859.1	PB.88804.3	ml_mapping	lr_defined	no
PB.143862.1	PB.130875.5	ml_mapping	lr_defined	no
PB.143862.2	PB.137350.4	ml_mapping	lr_defined	no
PB.143863.1	ENST00000326132.11	ml_mapping	reference	no
PB.143863.2	ENST00000326132.11	ml_mapping	reference	no
PB.143863.3	ENST00000326132.11	ml_mapping	reference	no
PB.143863.4	ENST00000326132.11	ml_mapping	reference	no
PB.143863.5	ENST00000326132.11	ml_mapping	reference	no
PB.143863.6	ENST00000326132.11	ml_mapping	reference	no
PB.143865.1	PB.88808.6	ml_mapping	lr_defined	no
PB.143865.2	PB.88808.3	ml_mapping	lr_defined	no
PB.143866.1	PB.164576.2	ml_mapping	lr_defined	no
PB.143866.2	PB.164576.2	ml_mapping	lr_defined	no
PB.143866.3	PB.164576.2	ml_mapping	lr_defined	no
PB.143866.4	PB.164576.2	ml_mapping	lr_defined	no
