rescue_candidate	mapping_hit	alignment_type	alignment_score
PB.137296.2	ENST00000545799.5	0	3093
PB.137296.2	ENST00000263196.12	256	3093
PB.137296.2	ENST00000537045.5	256	3093
PB.137296.2	PB.88761.1	256	2835
PB.137296.2	PB.8639.6	256	2832
PB.8639.8	ENST00000263196.12	0	4054
PB.8639.8	ENST00000545799.5	256	4049
PB.8639.8	ENST00000537045.5	256	3797
PB.8639.8	PB.8639.6	256	3536
PB.8639.8	PB.88761.1	256	3237
PB.150485.3	ENST00000537045.5	0	2643
PB.150485.3	PB.143804.2	256	2626
PB.150485.3	ENST00000545799.5	256	2494
PB.150485.3	ENST00000263196.12	256	2482
PB.150485.3	PB.8639.6	256	2018
PB.150485.3	PB.88761.1	256	1698
PB.22978.1	ENST00000263196.12	0	2147
PB.22978.1	ENST00000545799.5	256	2147
PB.22978.1	PB.22978.2	256	2085
PB.22978.1	PB.143804.2	256	1875
PB.22978.1	ENST00000537045.5	256	1875
PB.22978.1	PB.8639.6	256	1671
PB.60588.1	ENST00000263196.12	0	1208
PB.60588.1	PB.22978.2	256	1208
PB.60588.1	PB.88761.1	256	1185
PB.60588.1	ENST00000545799.5	256	1188
PB.60588.1	PB.137296.4	256	1175
PB.60588.1	PB.8639.6	256	1175
PB.130824.2	ENST00000545799.5	0	1229
PB.130824.2	PB.88761.1	256	1223
PB.130824.2	ENST00000263196.12	256	1212
PB.130824.2	PB.8639.6	256	1199
PB.130824.2	PB.22978.2	256	1207
PB.130824.2	PB.137296.4	256	1194
PB.30368.1	PB.8639.6	0	761
PB.30368.1	PB.137296.4	256	761
PB.30368.1	PB.88761.1	256	747
PB.30368.1	ENST00000545799.5	256	737
PB.30368.1	ENST00000263196.12	256	723
PB.30368.1	PB.22978.2	256	718
PB.118872.1	PB.52891.1	0	216
PB.118872.1	PB.60590.1	256	216
PB.118872.1	PB.30370.1	256	216
PB.118872.1	PB.96076.1	256	216
PB.118872.1	ENST00000215882.10	256	216
PB.118872.1	PB.60590.2	256	216
PB.8641.1	ENST00000263208.5	0	3757
PB.8641.1	ENST00000340170.8	256	2489
PB.124747.1		4	0
PB.60592.2		4	0
PB.30372.2		4	0
PB.88763.1	PB.45368.1	0	703
PB.88763.1	PB.30374.5	256	690
PB.88763.1	PB.22985.1	256	684
PB.88763.1	PB.30374.6	256	674
PB.88763.1	PB.30374.8	256	669
PB.88763.1	PB.68198.2	256	669
PB.96081.1	PB.45369.1	0	762
PB.96081.1	ENST00000455843.5	256	762
PB.96081.1	PB.22986.3	256	762
PB.96081.1	PB.52896.1	256	762
PB.96081.1	PB.150487.1	256	762
PB.96081.1	PB.157393.2	256	762
PB.15679.1	PB.157393.1	0	2171
PB.15679.1	PB.157393.2	256	2060
PB.15679.1	PB.130828.1	256	2058
PB.15679.1	PB.150487.1	256	1987
PB.15679.1	PB.143807.1	256	1876
PB.15679.1	ENST00000455784.7	256	1692
PB.30375.1	ENST00000455784.7	0	1997
PB.30375.1	ENST00000455843.5	256	1893
PB.30375.1	PB.30375.3	256	1892
PB.30375.1	PB.22986.3	256	1854
PB.30375.1	ENST00000438754.6	256	1853
PB.30375.1	ENST00000406395.5	256	1912
PB.22986.2	ENST00000455843.5	0	2095
PB.22986.2	PB.15679.2	256	1984
PB.22986.2	PB.157393.1	256	1790
PB.22986.2	ENST00000438754.6	256	2055
PB.22986.2	PB.22986.3	256	2049
PB.22986.2	PB.164519.2	256	1826
PB.118876.1	PB.143807.1	0	293
PB.118876.1	PB.52896.1	256	293
PB.118876.1	PB.30375.3	256	293
PB.118876.1	PB.15679.2	256	293
PB.118876.1	PB.150487.1	256	293
PB.118876.1	ENST00000438754.6	256	293
PB.52897.2	ENST00000403325.5	0	1433
PB.52897.2	PB.60595.2	256	1481
PB.52897.2	ENST00000329517.11	256	1397
PB.52897.2	PB.60595.1	256	1397
PB.52897.2	PB.60595.3	256	1124
PB.124752.1	ENST00000327374.9	0	2844
PB.164521.3	PB.164521.4	0	679
PB.164521.3	ENST00000327374.9	256	679
PB.164521.3	PB.15682.4	256	619
PB.164521.3	PB.22989.7	256	506
PB.164521.3	PB.22989.5	256	449
PB.164521.3	ENST00000401833.5	256	451
PB.22989.4	PB.22989.5	0	2027
PB.22989.4	ENST00000327374.9	256	1886
PB.22989.4	PB.15682.4	256	1826
PB.22989.4	PB.164521.4	256	1704
PB.22989.4	PB.30378.4	256	1864
PB.22989.4	PB.22989.7	256	1758
PB.130830.1	ENST00000327374.9	0	2601
PB.30378.7	PB.22989.3	0	1901
PB.30378.7	ENST00000456048.5	256	1901
PB.30378.7	PB.164521.1	256	1901
PB.30378.7	ENST00000327374.9	256	1901
PB.30378.7	PB.15682.4	256	1841
PB.30378.7	PB.15682.5	256	1719
PB.96085.1	PB.8643.2	0	860
PB.96085.1	ENST00000383024.6	256	860
PB.96085.1	PB.88765.2	256	860
PB.96085.1	PB.22991.1	256	860
PB.96085.1	PB.37841.1	256	860
PB.96085.1	PB.130831.1	256	860
PB.130832.2	ENST00000403707.7	0	2022
PB.130832.2	PB.130832.3	256	2096
PB.130832.2	ENST00000252136.12	256	1930
PB.130832.2	PB.137304.5	256	1839
PB.130832.2	PB.143812.4	256	1518
PB.130832.2	PB.157398.5	256	1607
PB.150492.3	ENST00000403707.7	0	2686
PB.150492.3	ENST00000252136.12	256	2654
PB.150492.3	PB.164523.2	256	2257
PB.150492.3	PB.157398.1	256	2226
PB.150492.3	ENST00000404751.7	256	2177
PB.150492.3	PB.157398.5	256	2143
PB.143812.3	ENST00000252136.12	0	2436
PB.143812.3	ENST00000403707.7	256	2423
PB.143812.3	PB.143812.5	256	2156
PB.143812.3	PB.150492.9	256	2270
PB.143812.3	PB.150492.8	256	2140
PB.143812.3	PB.150492.5	256	2041
PB.150492.4	ENST00000252136.12	0	2614
PB.150492.4	ENST00000403707.7	256	2363
PB.150492.4	PB.157398.5	256	2135
PB.150492.4	PB.157398.1	256	2184
PB.150492.4	ENST00000404751.7	256	2143
PB.150492.4	ENST00000439169.2	256	2093
PB.157398.2	ENST00000404751.7	0	2330
PB.157398.2	PB.130832.3	256	1652
PB.157398.2	PB.157398.1	256	2286
PB.157398.2	ENST00000252136.12	256	2286
PB.157398.2	PB.150492.6	256	2036
PB.157398.2	PB.157398.5	256	2204
PB.15684.4	PB.164523.2	0	2261
PB.15684.4	ENST00000403707.7	256	2261
PB.15684.4	ENST00000404751.7	256	2228
PB.15684.4	PB.157398.1	256	2158
PB.15684.4	ENST00000252136.12	256	2158
PB.15684.4	PB.157398.5	256	2076
PB.164523.1	PB.157398.5	0	2275
PB.164523.1	ENST00000439169.2	256	2243
PB.164523.1	PB.157398.1	256	2143
PB.164523.1	ENST00000252136.12	256	2143
PB.164523.1	PB.164523.2	256	2198
PB.164523.1	ENST00000403707.7	256	2198
PB.15684.6	PB.164523.2	0	2083
PB.15684.6	ENST00000403707.7	256	2083
PB.15684.6	ENST00000252136.12	256	1934
PB.15684.6	PB.157398.1	256	1934
PB.15684.6	PB.157398.5	256	1878
PB.15684.6	ENST00000404751.7	256	1886
PB.164523.3	ENST00000252136.12	0	2197
PB.164523.3	PB.157398.1	256	2195
PB.164523.3	ENST00000404751.7	256	2168
PB.164523.3	PB.157398.5	256	2128
PB.164523.3	PB.150492.6	256	1943
PB.164523.3	ENST00000439169.2	256	2079
PB.157398.4	ENST00000252136.12	0	2335
PB.157398.4	PB.157398.1	256	2335
PB.157398.4	ENST00000404751.7	256	2313
PB.157398.4	PB.157398.5	256	2255
PB.157398.4	PB.150492.6	256	2085
PB.157398.4	ENST00000439169.2	256	2223
PB.157398.3	PB.143812.4	0	2043
PB.157398.3	ENST00000403707.7	256	2161
PB.157398.3	PB.164523.2	256	2158
PB.157398.3	PB.137304.5	256	1697
PB.157398.3	PB.130832.3	256	1554
PB.157398.3	PB.157398.5	256	2108
PB.164523.4	PB.137304.5	0	1792
PB.164523.4	PB.130832.3	256	1650
PB.164523.4	PB.157398.5	256	2203
PB.164523.4	PB.143812.4	256	1919
PB.164523.4	ENST00000439169.2	256	2172
PB.164523.4	ENST00000252136.12	256	2095
PB.96086.2	ENST00000402752.5	0	547
PB.96086.2	PB.83116.3	256	583
PB.96086.2	PB.83116.2	256	535
PB.96086.2	PB.96086.3	256	569
PB.96086.2	PB.83116.5	256	531
PB.96086.4	PB.83116.2	0	730
PB.96086.4	ENST00000331821.7	256	703
PB.96086.4	ENST00000402752.5	256	715
PB.96086.4	PB.83116.5	256	618
PB.96086.4	PB.96086.3	256	762
PB.96086.4	PB.83116.3	256	655
PB.96086.5	ENST00000402752.5	0	619
PB.96086.5	PB.83116.2	256	607
PB.96086.5	PB.83116.3	256	655
PB.96086.5	PB.83116.5	256	528
PB.96086.5	ENST00000430524.6	256	498
PB.96086.5	PB.96086.3	256	527
PB.96086.6	ENST00000402752.5	0	896
PB.96086.6	PB.83116.2	256	884
PB.96086.6	PB.83116.5	256	805
PB.96086.6	PB.83116.3	256	762
PB.96086.6	ENST00000430524.6	256	776
PB.96086.6	PB.96086.3	256	841
PB.96086.7	ENST00000430524.6	0	826
PB.96086.7	PB.83116.2	256	826
PB.96086.7	PB.83116.5	256	826
PB.96086.7	PB.60600.2	256	826
PB.96086.7	PB.83116.7	256	811
PB.96086.7	ENST00000402752.5	256	811
PB.118882.3	PB.83116.3	0	364
PB.118882.3	PB.60600.4	256	364
PB.118882.3	PB.96086.3	256	364
PB.118882.3	ENST00000430524.6	256	364
PB.118882.3	PB.83116.5	256	364
PB.118882.3	PB.37843.1	256	364
PB.157400.1	ENST00000320602.11	0	2638
PB.157400.1	ENST00000334554.12	256	2638
PB.164524.1	ENST00000334554.12	0	2367
PB.164524.1	ENST00000320602.11	256	2367
PB.15686.1	ENST00000334554.12	0	2238
PB.15686.1	ENST00000320602.11	256	2238
PB.45374.1	ENST00000320602.11	0	1759
PB.45374.1	ENST00000334554.12	256	1759
PB.45375.1	ENST00000043402.8	0	1696
PB.45375.1	PB.30383.1	256	1694
PB.8645.1	ENST00000403682.7	0	510
PB.8645.1	PB.137306.1	256	509
PB.8645.1	PB.124755.1	256	509
PB.8645.1	ENST00000400451.7	256	509
PB.8645.1	PB.124755.2	256	489
PB.8645.1	PB.8645.2	256	484
PB.164525.2	ENST00000400451.7	0	2415
PB.164525.2	ENST00000611540.4	256	2415
PB.164525.2	PB.124755.1	256	2415
PB.164525.2	PB.8645.2	256	2415
PB.164525.2	PB.124755.2	256	2414
PB.52905.1	PB.157402.1	0	352
PB.52905.1	PB.164526.1	256	333
PB.52905.1	ENST00000328879.9	256	296
PB.137307.5	PB.130835.4	0	3031
PB.137307.5	ENST00000292733.11	256	3011
PB.137307.5	PB.130835.6	256	2916
PB.137307.5	PB.130835.5	256	2873
PB.137307.5	PB.124756.4	256	2866
PB.137307.5	PB.137307.6	256	2980
PB.143814.1	PB.137307.2	0	2623
PB.143814.1	PB.130835.2	256	2511
PB.143814.1	PB.130835.4	256	2460
PB.143814.1	PB.130835.3	256	2391
PB.143814.1	ENST00000292733.11	256	2440
PB.143814.1	PB.137307.11	256	2472
PB.150496.1	PB.143814.3	0	2711
PB.150496.1	PB.137307.3	256	2711
PB.150496.1	PB.137307.4	256	2710
PB.150496.1	PB.130835.4	256	2710
PB.150496.1	PB.143814.4	256	2709
PB.150496.1	PB.137307.1	256	2565
PB.164527.1	PB.137307.4	0	2251
PB.164527.1	ENST00000292733.11	256	2251
PB.164527.1	PB.130835.4	256	2251
PB.164527.1	PB.137307.3	256	2251
PB.164527.1	PB.143814.3	256	2250
PB.164527.1	PB.143814.4	256	2250
PB.157403.1	PB.130835.4	0	2302
PB.157403.1	ENST00000292733.11	256	2302
PB.157403.1	PB.137307.4	256	2302
PB.157403.1	PB.137307.3	256	2302
PB.157403.1	PB.143814.3	256	2300
PB.157403.1	PB.143814.4	256	2300
PB.22996.1	PB.124756.1	0	2099
PB.22996.1	PB.130835.6	256	2098
PB.22996.1	PB.143814.8	256	2098
PB.22996.1	PB.124756.4	256	1903
PB.22996.1	PB.157403.2	256	1900
PB.22996.1	PB.137307.8	256	1899
PB.130836.3	PB.3810.5	0	3388
PB.130836.3	PB.124757.1	256	3388
PB.130836.3	PB.88768.1	256	3388
PB.130836.3	PB.8646.1	256	3388
PB.130836.3	PB.3810.4	256	3388
PB.130836.3	ENST00000255882.11	256	3388
PB.96093.2	PB.83121.1	0	820
PB.96093.2	ENST00000215730.12	256	820
PB.96093.2	PB.83121.2	256	743
PB.96093.2	PB.96093.3	256	596
PB.96093.2	PB.96093.1	256	577
PB.111574.1	ENST00000444039.1	0	431
PB.88771.2	ENST00000646124.2	0	3897
PB.88771.2	PB.8649.2	256	3473
PB.88771.2	PB.3812.2	256	2864
PB.88771.2	PB.3812.1	256	2350
PB.8649.5	ENST00000646124.2	0	4073
PB.8649.5	PB.8649.2	256	3675
PB.8649.5	PB.3812.2	256	3066
PB.8649.5	PB.3812.1	256	2526
PB.8649.6	ENST00000646124.2	0	4145
PB.8649.6	PB.8649.2	256	3721
PB.8649.6	PB.3812.2	256	3112
PB.8649.6	PB.3812.1	256	2598
PB.23001.2	PB.8649.2	0	2201
PB.23001.2	ENST00000646124.2	256	2007
PB.23001.2	PB.164532.2	256	2007
PB.23001.2	PB.137310.2	256	2007
PB.23001.2	PB.3812.1	256	2007
PB.23001.2	PB.164532.1	256	2006
PB.75692.2	PB.75692.3	0	1096
PB.75692.2	PB.83123.2	256	958
PB.75692.2	PB.83123.1	256	957
PB.75692.2	ENST00000399133.2	256	956
PB.75692.2	PB.45384.1	256	802
PB.75692.2	PB.23002.3	256	562
PB.52911.1	PB.45384.1	0	1430
PB.52911.1	PB.23002.3	256	1190
PB.60607.2	PB.45384.1	0	1425
PB.60607.2	PB.23002.3	256	1185
PB.37852.2	ENST00000292748.7	0	1366
PB.52912.1	ENST00000292748.7	0	917
PB.15694.1		4	0
PB.96098.1	ENST00000407464.7	0	1583
PB.96098.1	ENST00000443632.2	256	1583
PB.96099.1	ENST00000407464.7	0	790
PB.96099.1	ENST00000443632.2	256	790
PB.164534.1	PB.150503.2	0	1273
PB.164534.1	PB.52887.2	256	1543
PB.164534.1	ENST00000611748.1	2048	430
PB.23004.2	PB.150503.1	0	1683
PB.23004.2	PB.15696.1	256	2087
PB.23004.2	PB.30396.1	256	2037
PB.23004.2	ENST00000450651.5	256	1818
PB.23004.2	ENST00000360806.9	256	1898
PB.83126.1	ENST00000611748.1	0	1015
PB.157411.1	ENST00000486209.5	0	1170
PB.157411.1	ENST00000611748.1	2048	601
PB.37853.1	ENST00000611748.1	0	1702
PB.37853.1	ENST00000450651.5	256	1306
PB.37853.1	PB.15696.1	256	1297
PB.37853.1	PB.150503.1	256	1281
PB.45387.1	ENST00000611748.1	0	1759
PB.45387.1	ENST00000450651.5	256	1363
PB.45387.1	PB.15696.1	256	1352
PB.45387.1	PB.150503.1	256	1336
PB.150503.3	PB.15696.1	0	380
PB.150503.3	ENST00000450651.5	256	380
PB.150503.3	PB.30396.1	256	332
PB.150503.3	PB.23004.1	256	332
PB.150503.3	ENST00000360806.9	256	332
PB.150503.3	PB.150503.1	256	332
PB.103709.1	PB.52915.2	0	585
PB.103709.1	ENST00000545681.2	256	585
PB.103709.1	ENST00000458578.6	256	545
PB.103709.1	ENST00000342192.9	256	545
PB.103709.1	PB.96101.2	256	410
PB.52915.3	ENST00000342192.9	0	1636
PB.52915.3	ENST00000458578.6	256	1586
PB.52915.3	PB.52915.2	256	1488
PB.52915.3	ENST00000545681.2	256	1488
PB.15697.1	ENST00000342192.9	0	2131
PB.15697.1	ENST00000458578.6	256	2083
PB.15697.1	ENST00000545681.2	256	1985
PB.103710.1	ENST00000342192.9	0	614
PB.103710.1	ENST00000545681.2	256	614
PB.103710.1	PB.52915.2	256	614
PB.103710.1	ENST00000458578.6	256	614
PB.103710.1	PB.137312.1	272	614
PB.88773.1	PB.68214.4	0	721
PB.88773.1	PB.68214.2	256	606
PB.88773.1	ENST00000292778.11	256	695
PB.88773.1	PB.75695.4	256	582
PB.88773.1	PB.83129.2	256	699
PB.88773.1	PB.75695.5	256	697
PB.60609.1	PB.68214.4	0	1096
PB.60609.1	ENST00000292778.11	256	1078
PB.60609.1	PB.68214.2	256	981
PB.60609.1	PB.75695.5	256	767
PB.60609.1	PB.83129.2	256	740
PB.60609.1	PB.75695.4	256	829
PB.60609.2	PB.68214.4	0	1111
PB.60609.2	ENST00000292778.11	256	1087
PB.60609.2	PB.68214.2	256	996
PB.60609.2	PB.75695.5	256	730
PB.60609.2	PB.83129.2	256	729
PB.60609.2	PB.75695.4	256	976
PB.75695.1	PB.75695.5	0	942
PB.75695.1	PB.83129.2	256	941
PB.75695.1	PB.75695.3	256	822
PB.75695.1	PB.68214.4	256	733
PB.75695.1	ENST00000292778.11	256	705
PB.75695.1	PB.68214.2	256	618
PB.75695.2	PB.68214.4	0	1164
PB.75695.2	ENST00000292778.11	256	1164
PB.75695.2	PB.68214.2	256	1052
PB.75695.2	PB.83129.3	256	1076
PB.75695.2	PB.75695.5	256	812
PB.75695.2	PB.75695.4	256	975
PB.60609.4	PB.68214.4	0	1066
PB.60609.4	ENST00000292778.11	256	1058
PB.60609.4	PB.68214.2	256	951
PB.60609.4	PB.83129.2	256	710
PB.60609.4	PB.75695.4	256	729
PB.60609.4	PB.75695.3	256	699
PB.52917.1	PB.68214.4	0	856
PB.52917.1	ENST00000292778.11	256	827
PB.52917.1	PB.68214.2	256	741
PB.52917.1	PB.75695.4	256	581
PB.52917.1	PB.83129.2	256	699
PB.52917.1	PB.75695.5	256	697
PB.52917.5	PB.68214.4	0	1002
PB.52917.5	ENST00000292778.11	256	973
PB.52917.5	PB.68214.2	256	887
PB.52917.5	PB.75695.4	256	727
PB.52917.5	PB.83129.2	256	699
PB.52917.5	PB.75695.5	256	697
PB.52917.3	PB.68214.4	0	969
PB.52917.3	ENST00000292778.11	256	940
PB.52917.3	PB.68214.2	256	854
PB.52917.3	PB.75695.4	256	830
PB.52917.3	PB.83129.2	256	697
PB.52917.3	PB.75695.5	256	695
PB.45389.2	PB.68214.4	0	865
PB.45389.2	ENST00000292778.11	256	836
PB.45389.2	PB.68214.2	256	750
PB.45389.2	PB.75695.4	256	726
PB.45389.2	PB.75695.5	256	697
PB.45389.2	PB.83129.2	256	697
PB.37856.1	PB.52918.1	0	1436
PB.83130.1	PB.52918.1	0	653
PB.83131.1		4	0
PB.88774.1	PB.157414.1	0	1014
PB.88774.1	PB.45390.1	256	1014
PB.88774.1	PB.150505.2	256	1014
PB.88774.1	ENST00000681338.1	256	1014
PB.88774.1	PB.8652.2	256	1014
PB.88774.1	PB.143822.1	256	1014
PB.143822.2	PB.143822.1	0	1316
PB.143822.2	PB.8652.2	256	1316
PB.143822.2	ENST00000679827.1	256	1134
PB.143822.2	ENST00000680061.1	256	1134
PB.143822.2	PB.45390.1	256	1134
PB.143822.2	PB.124765.1	256	1134
PB.45390.2	PB.150505.2	0	1287
PB.45390.2	ENST00000679534.1	256	1287
PB.45390.2	ENST00000681956.1	256	1287
PB.45390.2	ENST00000679540.1	256	1287
PB.45390.2	ENST00000335025.12	256	1287
PB.45390.2	PB.124765.2	256	1282
PB.150505.4	ENST00000679534.1	0	1217
PB.150505.4	PB.88774.3	256	1217
PB.150505.4	ENST00000681338.1	256	1217
PB.150505.4	PB.150505.1	256	1217
PB.150505.4	ENST00000680393.1	256	1217
PB.150505.4	ENST00000680094.1	256	1211
PB.150505.5	ENST00000335025.12	0	2621
PB.150505.5	ENST00000680061.1	256	2620
PB.150505.5	ENST00000681338.1	256	2603
PB.150505.5	ENST00000679477.1	256	2508
PB.150505.5	PB.143822.5	256	2506
PB.150505.5	PB.143822.1	256	2516
PB.103713.1	ENST00000679477.1	0	727
PB.103713.1	ENST00000681338.1	256	727
PB.103713.1	ENST00000680109.1	256	727
PB.103713.1	PB.157414.1	256	727
PB.103713.1	PB.143822.3	256	727
PB.103713.1	PB.88774.3	256	726
PB.3813.1	ENST00000215832.11	0	5048
PB.3813.1	PB.8654.1	256	4672
PB.3813.1	PB.88775.1	256	4125
PB.3814.2	ENST00000263212.10	0	4987
PB.3814.2	PB.8655.1	256	4775
PB.3814.2	ENST00000407142.5	256	4675
PB.3814.2	PB.88776.2	256	4118
PB.75701.1	PB.164538.1	0	1106
PB.75701.1	ENST00000263212.10	256	1102
PB.75701.1	ENST00000397495.8	256	1085
PB.75701.1	PB.68217.1	256	1013
PB.3814.4	PB.164538.1	0	881
PB.3814.4	PB.68217.1	256	876
PB.3814.4	ENST00000263212.10	256	864
PB.3814.4	ENST00000397495.8	256	847
PB.8656.1	PB.137316.2	0	1366
PB.8656.1	ENST00000357179.10	256	1366
PB.8656.1	PB.143826.5	256	1362
PB.8656.1	ENST00000398793.6	256	1362
PB.124768.2	ENST00000357179.10	0	1337
PB.124768.2	PB.143826.5	256	1335
PB.124768.2	PB.137316.2	256	1279
PB.124768.2	ENST00000398793.6	256	1275
PB.143826.2	ENST00000357179.10	0	2777
PB.143826.2	PB.143826.5	256	2777
PB.143826.2	PB.137316.2	256	2719
PB.143826.2	ENST00000398793.6	256	2715
PB.137316.1	ENST00000357179.10	0	2776
PB.137316.1	PB.137316.2	256	2775
PB.137316.1	PB.143826.5	256	2772
PB.137316.1	ENST00000398793.6	256	2771
PB.88777.1	ENST00000357179.10	0	1491
PB.88777.1	PB.143826.5	256	1491
PB.88777.1	PB.137316.2	256	1433
PB.88777.1	ENST00000398793.6	256	1429
PB.143826.1	ENST00000357179.10	0	2725
PB.143826.1	PB.143826.5	256	2725
