artifact	assigned_transcript	rescue_mode	origin	reintroduced
PB.111603.1	PB.68246.1	rules_mapping	lr_defined	no
PB.111604.1	PB.124791.2	rules_mapping	lr_defined	no
PB.111604.1	PB.88801.1	rules_mapping	lr_defined	no
PB.111604.1	PB.88801.4	rules_mapping	lr_defined	no
PB.111604.1	PB.88801.2	rules_mapping	lr_defined	no
PB.111613.1	ENST00000327423.11	rules_mapping	reference	yes
PB.111622.1	PB.3838.2	rules_mapping	lr_defined	no
PB.111622.1	PB.157472.3	rules_mapping	lr_defined	no
PB.111622.1	PB.164581.4	rules_mapping	lr_defined	no
PB.111622.1	PB.157472.2	rules_mapping	lr_defined	no
PB.111622.1	PB.75741.1	rules_mapping	lr_defined	no
PB.111653.1	PB.68302.2	rules_mapping	lr_defined	no
PB.111653.1	PB.83216.7	rules_mapping	lr_defined	no
PB.111653.1	PB.75774.2	rules_mapping	lr_defined	no
PB.111653.1	PB.75774.7	rules_mapping	lr_defined	no
PB.111653.1	PB.96183.3	rules_mapping	lr_defined	no
PB.111653.2	PB.45482.1	rules_mapping	lr_defined	no
PB.111653.2	PB.83216.9	rules_mapping	lr_defined	no
PB.111653.2	PB.75774.7	rules_mapping	lr_defined	no
PB.111653.2	PB.75774.2	rules_mapping	lr_defined	no
PB.111653.2	PB.83216.7	rules_mapping	lr_defined	no
PB.111654.1	PB.96184.2	rules_mapping	lr_defined	no
PB.111658.1	ENST00000454349.7	rules_mapping	reference	yes
PB.111658.1	ENST00000301923.13	rules_mapping	reference	yes
PB.111658.1	ENST00000335727.13	rules_mapping	reference	no
PB.111659.1	ENST00000301923.13	rules_mapping	reference	no
PB.111659.1	ENST00000335727.13	rules_mapping	reference	no
PB.111659.1	ENST00000454349.7	rules_mapping	reference	no
PB.111680.1	ENST00000359486.8	rules_mapping	reference	yes
PB.111680.1	ENST00000677622.1	rules_mapping	reference	yes
PB.111692.1	ENST00000454366.2	rules_mapping	reference	no
PB.118872.1	PB.52891.1	rules_mapping	lr_defined	no
PB.118872.1	PB.60590.1	rules_mapping	lr_defined	no
PB.118872.1	PB.30370.1	rules_mapping	lr_defined	no
PB.118872.1	PB.96076.1	rules_mapping	lr_defined	no
PB.118872.1	PB.60590.2	rules_mapping	lr_defined	no
PB.118876.1	PB.143807.1	rules_mapping	lr_defined	no
PB.118876.1	PB.52896.1	rules_mapping	lr_defined	no
PB.118876.1	PB.30375.3	rules_mapping	lr_defined	no
PB.118876.1	PB.15679.2	rules_mapping	lr_defined	no
PB.118876.1	PB.150487.1	rules_mapping	lr_defined	no
PB.118882.3	PB.83116.3	rules_mapping	lr_defined	no
PB.118882.3	PB.60600.4	rules_mapping	lr_defined	no
PB.118882.3	PB.96086.3	rules_mapping	lr_defined	no
PB.118882.3	PB.83116.5	rules_mapping	lr_defined	no
PB.118882.3	PB.37843.1	rules_mapping	lr_defined	no
PB.118916.1	PB.103728.1	rules_mapping	lr_defined	no
PB.118916.1	PB.143842.1	rules_mapping	lr_defined	no
PB.118921.2	PB.3827.3	rules_mapping	lr_defined	no
PB.118921.2	PB.164557.3	rules_mapping	lr_defined	no
PB.118942.1	PB.157471.2	rules_mapping	lr_defined	no
PB.118942.1	PB.96151.1	rules_mapping	lr_defined	no
PB.118958.1	PB.103767.2	rules_mapping	lr_defined	no
PB.118986.1	ENST00000454349.7	rules_mapping	reference	no
PB.118999.1	PB.53021.1	rules_mapping	lr_defined	no
PB.118999.1	PB.37951.2	rules_mapping	lr_defined	no
PB.118999.1	PB.75786.1	rules_mapping	lr_defined	no
PB.119018.1	PB.30513.2	rules_mapping	lr_defined	no
PB.119018.1	PB.45514.2	rules_mapping	lr_defined	no
PB.119018.1	PB.164636.1	rules_mapping	lr_defined	no
PB.119018.1	PB.157528.1	rules_mapping	lr_defined	no
PB.119019.1	PB.157528.1	rules_mapping	lr_defined	no
PB.119019.1	PB.30513.2	rules_mapping	lr_defined	no
PB.119019.1	PB.164636.1	rules_mapping	lr_defined	no
PB.119019.1	PB.45514.2	rules_mapping	lr_defined	no
PB.119022.1	ENST00000262735.9	rules_mapping	reference	yes
PB.119022.1	ENST00000407236.5	rules_mapping	reference	yes
PB.124736.1	PB.8631.2	rules_mapping	lr_defined	no
PB.124736.3	ENST00000447898.5	rules_mapping	reference	no
PB.124736.4	ENST00000447898.5	rules_mapping	reference	no
PB.124752.1	ENST00000327374.9	rules_mapping	reference	no
PB.124768.1	PB.143826.5	rules_mapping	lr_defined	no
PB.124768.2	ENST00000357179.10	rules_mapping	reference	yes
PB.124770.1	PB.124770.2	rules_mapping	lr_defined	no
PB.124770.3	PB.124770.2	rules_mapping	lr_defined	no
PB.124778.1	ENST00000336873.9	rules_mapping	reference	yes
PB.124778.3	ENST00000398145.7	rules_mapping	reference	yes
PB.124778.4	ENST00000336873.9	rules_mapping	reference	no
PB.124783.1	ENST00000249064.9	rules_mapping	reference	yes
PB.124784.1	ENST00000458080.1	rules_mapping	reference	no
PB.124787.3	PB.88800.4	rules_mapping	lr_defined	no
PB.124787.3	PB.124787.2	rules_mapping	lr_defined	no
PB.124787.3	PB.88800.3	rules_mapping	lr_defined	no
PB.124788.2	ENST00000310624.7	rules_mapping	reference	yes
PB.124800.1	PB.130876.2	rules_mapping	lr_defined	no
PB.124803.1	ENST00000540643.5	rules_mapping	reference	yes
PB.124804.1	ENST00000397500.5	rules_mapping	reference	yes
PB.124804.2	ENST00000382151.6	rules_mapping	reference	yes
PB.124806.1	PB.88809.1	rules_mapping	lr_defined	no
PB.124806.1	PB.143869.1	rules_mapping	lr_defined	no
PB.124806.1	PB.30441.1	rules_mapping	lr_defined	no
PB.124809.1	PB.164581.1	rules_mapping	lr_defined	no
PB.124813.1	ENST00000397224.9	rules_mapping	reference	yes
PB.124813.2	ENST00000397224.9	rules_mapping	reference	no
PB.124813.4	ENST00000397223.4	rules_mapping	reference	no
PB.124814.1	PB.37907.1	rules_mapping	lr_defined	no
PB.124822.1	PB.124822.2	rules_mapping	lr_defined	no
PB.124822.3	PB.124822.2	rules_mapping	lr_defined	no
PB.124822.4	PB.124822.2	rules_mapping	lr_defined	no
PB.124822.5	PB.124822.2	rules_mapping	lr_defined	no
PB.124822.6	PB.124822.2	rules_mapping	lr_defined	no
PB.124822.7	PB.124822.2	rules_mapping	lr_defined	no
PB.124822.8	PB.124822.2	rules_mapping	lr_defined	no
PB.124823.1	ENST00000396832.6	rules_mapping	reference	no
PB.124823.1	ENST00000403904.5	rules_mapping	reference	no
PB.124824.1	ENST00000216039.9	rules_mapping	reference	yes
PB.124831.1	ENST00000404569.5	rules_mapping	reference	yes
PB.124838.2	ENST00000216237.10	rules_mapping	reference	yes
PB.124838.3	ENST00000216237.10	rules_mapping	reference	no
PB.124842.1	PB.8715.8	rules_mapping	lr_defined	no
PB.124845.1	ENST00000323013.7	rules_mapping	reference	yes
PB.124849.2	ENST00000216180.8	rules_mapping	reference	no
PB.124850.1	ENST00000338758.12	rules_mapping	reference	yes
PB.124851.1	PB.3869.4	rules_mapping	lr_defined	no
PB.124865.1	PB.88864.1	rules_mapping	lr_defined	no
PB.124866.1	PB.124866.2	rules_mapping	lr_defined	no
PB.124872.1	PB.164659.2	rules_mapping	lr_defined	no
PB.124872.2	PB.164659.2	rules_mapping	lr_defined	no
PB.130815.3	PB.143795.2	rules_mapping	lr_defined	no
PB.130815.5	ENST00000447898.5	rules_mapping	reference	no
PB.130815.6	ENST00000657965.1	rules_mapping	reference	yes
PB.130817.2	ENST00000319363.11	rules_mapping	reference	yes
PB.130824.2	ENST00000545799.5	rules_mapping	reference	yes
PB.130830.1	ENST00000327374.9	rules_mapping	reference	no
PB.130832.2	PB.130832.3	rules_mapping	lr_defined	no
PB.130836.3	PB.3810.5	rules_mapping	lr_defined	no
PB.130836.3	PB.124757.1	rules_mapping	lr_defined	no
PB.130836.3	PB.88768.1	rules_mapping	lr_defined	no
PB.130836.3	PB.8646.1	rules_mapping	lr_defined	no
PB.130836.3	PB.3810.4	rules_mapping	lr_defined	no
PB.130844.1	PB.45395.2	rules_mapping	lr_defined	no
PB.130857.6	PB.124775.2	rules_mapping	lr_defined	no
PB.130857.9	PB.124775.2	rules_mapping	lr_defined	no
PB.130866.1	PB.130866.2	rules_mapping	lr_defined	no
PB.130867.2	PB.124787.2	rules_mapping	lr_defined	no
PB.130867.2	PB.88800.4	rules_mapping	lr_defined	no
PB.130867.2	PB.88800.3	rules_mapping	lr_defined	no
PB.130867.5	PB.88800.3	rules_mapping	lr_defined	no
PB.130872.1	PB.60642.1	rules_mapping	lr_defined	no
PB.130873.3	PB.124796.4	rules_mapping	lr_defined	no
PB.130876.1	PB.130876.2	rules_mapping	lr_defined	no
PB.130877.1	ENST00000426256.6	rules_mapping	reference	yes
PB.130877.2	ENST00000326132.11	rules_mapping	reference	yes
PB.130877.3	ENST00000326132.11	rules_mapping	reference	no
PB.130877.4	ENST00000326132.11	rules_mapping	reference	no
PB.130877.6	ENST00000326132.11	rules_mapping	reference	no
PB.130877.7	ENST00000326132.11	rules_mapping	reference	no
PB.130879.1	ENST00000405309.7	rules_mapping	reference	yes
PB.130881.2	PB.88808.1	rules_mapping	lr_defined	no
PB.130882.1	ENST00000382151.6	rules_mapping	reference	no
PB.130890.4	PB.3841.13	rules_mapping	lr_defined	no
PB.130890.7	PB.3841.13	rules_mapping	lr_defined	no
PB.130892.1	PB.37907.1	rules_mapping	lr_defined	no
PB.130901.1	PB.157480.3	rules_mapping	lr_defined	no
PB.130903.1	ENST00000332509.8	rules_mapping	reference	yes
PB.130904.2	PB.124822.2	rules_mapping	lr_defined	no
PB.130917.1	PB.137387.5	rules_mapping	lr_defined	no
PB.130918.1	PB.8707.2	rules_mapping	lr_defined	no
PB.130921.2	ENST00000216237.10	rules_mapping	reference	no
PB.130921.3	ENST00000216237.10	rules_mapping	reference	no
PB.130927.1	PB.137396.1	rules_mapping	lr_defined	no
PB.130928.1	PB.53022.2	rules_mapping	lr_defined	no
PB.130929.1	ENST00000263256.7	rules_mapping	reference	yes
PB.130929.2	ENST00000263256.7	rules_mapping	reference	no
PB.130929.3	ENST00000263256.7	rules_mapping	reference	no
PB.130929.4	ENST00000263256.7	rules_mapping	reference	no
PB.130931.1	PB.8715.6	rules_mapping	lr_defined	no
PB.130931.2	PB.8715.1	rules_mapping	lr_defined	no
PB.130931.2	PB.3863.3	rules_mapping	lr_defined	no
PB.130933.1	PB.88846.1	rules_mapping	lr_defined	no
PB.130934.10	PB.130934.6	rules_mapping	lr_defined	no
PB.130934.12	PB.130934.6	rules_mapping	lr_defined	no
PB.130934.5	PB.124846.1	rules_mapping	lr_defined	no
PB.130934.9	PB.124846.1	rules_mapping	lr_defined	no
PB.130934.9	PB.124846.2	rules_mapping	lr_defined	no
PB.130935.5	PB.130935.7	rules_mapping	lr_defined	no
PB.130935.5	PB.130935.6	rules_mapping	lr_defined	no
PB.130935.5	PB.130935.2	rules_mapping	lr_defined	no
PB.130935.5	PB.130935.3	rules_mapping	lr_defined	no
PB.130935.5	PB.130935.4	rules_mapping	lr_defined	no
PB.130935.8	ENST00000263246.8	rules_mapping	reference	yes
PB.130937.1	ENST00000216129.7	rules_mapping	reference	yes
PB.130945.1	ENST00000381031.8	rules_mapping	reference	yes
PB.130946.3	PB.157532.4	rules_mapping	lr_defined	no
PB.130963.3	PB.130963.2	rules_mapping	lr_defined	no
PB.130964.2	ENST00000420993.7	rules_mapping	reference	yes
PB.130964.3	ENST00000420993.7	rules_mapping	reference	no
PB.137290.1	ENST00000447898.5	rules_mapping	reference	no
PB.137290.2	ENST00000447898.5	rules_mapping	reference	no
PB.137290.3	ENST00000447898.5	rules_mapping	reference	no
PB.137291.1	ENST00000319363.11	rules_mapping	reference	no
PB.137294.6	PB.130819.6	rules_mapping	lr_defined	no
PB.137296.1	ENST00000263196.12	rules_mapping	reference	yes
PB.137296.1	ENST00000537045.5	rules_mapping	reference	yes
PB.137296.1	ENST00000545799.5	rules_mapping	reference	no
PB.137296.2	ENST00000545799.5	rules_mapping	reference	no
PB.137296.2	ENST00000263196.12	rules_mapping	reference	no
PB.137296.2	ENST00000537045.5	rules_mapping	reference	no
PB.137307.5	PB.130835.4	rules_mapping	lr_defined	no
PB.137316.1	ENST00000357179.10	rules_mapping	reference	no
PB.137316.3	PB.137316.2	rules_mapping	lr_defined	no
PB.137316.4	PB.143826.5	rules_mapping	lr_defined	no
PB.137316.4	PB.137316.2	rules_mapping	lr_defined	no
PB.137316.5	PB.45395.2	rules_mapping	lr_defined	no
PB.137322.2	PB.124772.1	rules_mapping	lr_defined	no
PB.137323.2	PB.150510.1	rules_mapping	lr_defined	no
PB.137330.1	PB.143838.4	rules_mapping	lr_defined	no
PB.137331.1	ENST00000407690.6	rules_mapping	reference	yes
PB.137331.2	PB.143839.2	rules_mapping	lr_defined	no
PB.137334.1	ENST00000455418.7	rules_mapping	reference	yes
PB.137343.1	PB.143852.1	rules_mapping	lr_defined	no
PB.137344.4	PB.130871.4	rules_mapping	lr_defined	no
PB.137351.2	ENST00000326132.11	rules_mapping	reference	no
PB.137351.3	PB.143863.3	rules_mapping	lr_defined	no
PB.137351.4	PB.143863.3	rules_mapping	lr_defined	no
PB.137351.5	ENST00000326132.11	rules_mapping	reference	no
PB.137353.3	ENST00000351933.8	rules_mapping	reference	yes
PB.137354.1	ENST00000330125.10	rules_mapping	reference	yes
PB.137355.1	PB.88808.3	rules_mapping	lr_defined	no
PB.137355.2	PB.88808.3	rules_mapping	lr_defined	no
PB.137357.1	PB.3836.2	rules_mapping	lr_defined	no
PB.137366.3	PB.137366.1	rules_mapping	lr_defined	no
PB.137376.1	PB.143890.1	rules_mapping	lr_defined	no
PB.137376.1	PB.150569.2	rules_mapping	lr_defined	no
PB.137379.2	ENST00000405510.5	rules_mapping	reference	yes
PB.137381.1	ENST00000407418.8	rules_mapping	reference	yes
PB.137387.1	PB.137387.5	rules_mapping	lr_defined	no
PB.137387.2	PB.137387.5	rules_mapping	lr_defined	no
PB.137387.3	PB.137387.5	rules_mapping	lr_defined	no
PB.137387.4	ENST00000248929.14	rules_mapping	reference	yes
PB.137387.6	PB.143901.6	rules_mapping	lr_defined	no
PB.137387.7	PB.137387.5	rules_mapping	lr_defined	no
PB.137387.8	PB.137387.5	rules_mapping	lr_defined	no
PB.137392.1	ENST00000216237.10	rules_mapping	reference	no
PB.137392.2	ENST00000216237.10	rules_mapping	reference	no
PB.137392.3	ENST00000216237.10	rules_mapping	reference	no
PB.137392.4	ENST00000216237.10	rules_mapping	reference	no
PB.137409.1	ENST00000441876.7	rules_mapping	reference	yes
PB.137410.2	ENST00000454366.2	rules_mapping	reference	no
PB.137410.3	ENST00000454366.2	rules_mapping	reference	no
PB.137410.4	ENST00000454366.2	rules_mapping	reference	no
PB.137411.4	PB.137411.3	rules_mapping	lr_defined	no
PB.137411.4	PB.60740.2	rules_mapping	lr_defined	no
PB.137411.4	PB.150622.1	rules_mapping	lr_defined	no
PB.137411.4	PB.68346.1	rules_mapping	lr_defined	no
PB.137411.4	PB.137411.2	rules_mapping	lr_defined	no
PB.137411.4	PB.150622.2	rules_mapping	lr_defined	no
PB.137418.1	PB.164650.1	rules_mapping	lr_defined	no
PB.137421.1	ENST00000216271.10	rules_mapping	reference	yes
PB.137423.2	PB.130960.4	rules_mapping	lr_defined	no
PB.137426.1	PB.130966.1	rules_mapping	lr_defined	no
PB.137426.1	PB.124873.1	rules_mapping	lr_defined	no
PB.143795.3	ENST00000447898.5	rules_mapping	reference	no
PB.143795.4	ENST00000447898.5	rules_mapping	reference	no
PB.143797.1	ENST00000319363.11	rules_mapping	reference	no
PB.143812.3	ENST00000252136.12	rules_mapping	reference	yes
PB.143814.1	PB.137307.2	rules_mapping	lr_defined	no
PB.143822.2	PB.143822.1	rules_mapping	lr_defined	no
PB.143822.2	PB.8652.2	rules_mapping	lr_defined	no
PB.143826.1	PB.143826.5	rules_mapping	lr_defined	no
PB.143826.2	PB.143826.5	rules_mapping	lr_defined	no
PB.143826.3	PB.143826.5	rules_mapping	lr_defined	no
PB.143826.4	PB.137316.2	rules_mapping	lr_defined	no
PB.143833.2	PB.124775.2	rules_mapping	lr_defined	no
PB.143833.2	PB.130857.2	rules_mapping	lr_defined	no
PB.143838.1	ENST00000336873.9	rules_mapping	reference	no
PB.143839.4	PB.143839.2	rules_mapping	lr_defined	no
PB.143841.2	ENST00000335272.10	rules_mapping	reference	yes
PB.143841.3	ENST00000335272.10	rules_mapping	reference	no
PB.143841.5	ENST00000455418.7	rules_mapping	reference	no
PB.143841.5	ENST00000335272.10	rules_mapping	reference	no
PB.143849.1	PB.88800.3	rules_mapping	lr_defined	no
PB.143859.1	PB.124796.4	rules_mapping	lr_defined	no
PB.143862.1	PB.130875.6	rules_mapping	lr_defined	no
PB.143862.1	PB.130875.5	rules_mapping	lr_defined	no
PB.143862.1	PB.130875.4	rules_mapping	lr_defined	no
PB.143863.1	ENST00000326132.11	rules_mapping	reference	no
PB.143863.2	ENST00000326132.11	rules_mapping	reference	no
PB.143863.4	ENST00000326132.11	rules_mapping	reference	no
PB.143863.5	PB.143863.3	rules_mapping	lr_defined	no
PB.143863.6	ENST00000326132.11	rules_mapping	reference	no
PB.143865.1	ENST00000540643.5	rules_mapping	reference	no
PB.143865.2	PB.88808.2	rules_mapping	lr_defined	no
PB.143865.2	PB.88808.4	rules_mapping	lr_defined	no
PB.143866.1	ENST00000382151.6	rules_mapping	reference	no
PB.143866.2	ENST00000382151.6	rules_mapping	reference	no
PB.143866.3	ENST00000382151.6	rules_mapping	reference	no
PB.143866.4	ENST00000382151.6	rules_mapping	reference	no
PB.143866.5	ENST00000382151.6	rules_mapping	reference	no
PB.143866.6	ENST00000382151.6	rules_mapping	reference	no
PB.143875.1	ENST00000409652.5	rules_mapping	reference	no
PB.143879.2	PB.137366.1	rules_mapping	lr_defined	no
PB.143885.1	ENST00000407319.7	rules_mapping	reference	yes
PB.143885.2	ENST00000407319.7	rules_mapping	reference	no
PB.143894.1	ENST00000407418.8	rules_mapping	reference	no
PB.143895.1	ENST00000216133.10	rules_mapping	reference	yes
PB.143901.1	ENST00000248929.14	rules_mapping	reference	no
PB.143901.3	ENST00000248929.14	rules_mapping	reference	no
PB.143901.4	PB.143901.6	rules_mapping	lr_defined	no
PB.143901.7	PB.150586.6	rules_mapping	lr_defined	no
PB.143901.8	ENST00000248929.14	rules_mapping	reference	no
PB.143901.9	PB.143901.6	rules_mapping	lr_defined	no
PB.143902.1	PB.8707.2	rules_mapping	lr_defined	no
PB.143902.1	PB.8707.1	rules_mapping	lr_defined	no
PB.143905.1	PB.3857.1	rules_mapping	lr_defined	no
PB.143911.1	ENST00000263256.7	rules_mapping	reference	no
PB.143921.1	ENST00000338758.12	rules_mapping	reference	no
PB.143932.3	PB.157532.4	rules_mapping	lr_defined	no
PB.143937.1	ENST00000360612.5	rules_mapping	reference	yes
PB.143938.1	ENST00000216271.10	rules_mapping	reference	no
PB.143938.2	ENST00000626012.2	rules_mapping	reference	yes
PB.143938.3	ENST00000216271.10	rules_mapping	reference	no
PB.143938.4	ENST00000216271.10	rules_mapping	reference	no
PB.150483.1	ENST00000399744.8	rules_mapping	reference	yes
PB.150485.3	ENST00000537045.5	rules_mapping	reference	no
PB.150492.3	ENST00000403707.7	rules_mapping	reference	yes
PB.150492.4	ENST00000252136.12	rules_mapping	reference	no
PB.150496.1	PB.143814.3	rules_mapping	lr_defined	no
PB.150496.1	PB.137307.3	rules_mapping	lr_defined	no
PB.150503.3	PB.15696.1	rules_mapping	lr_defined	no
PB.150505.4	PB.88774.3	rules_mapping	lr_defined	no
PB.150505.4	PB.150505.1	rules_mapping	lr_defined	no
PB.150505.5	ENST00000335025.12	rules_mapping	reference	yes
PB.150507.1	PB.137316.2	rules_mapping	lr_defined	no
PB.150507.2	PB.143826.5	rules_mapping	lr_defined	no
PB.150514.1	ENST00000444995.7	rules_mapping	reference	yes
PB.150519.1	ENST00000335272.10	rules_mapping	reference	no
PB.150519.3	ENST00000455418.7	rules_mapping	reference	no
PB.150520.1	ENST00000612946.4	rules_mapping	reference	yes
PB.150520.1	ENST00000397906.6	rules_mapping	reference	yes
PB.150527.2	PB.88800.1	rules_mapping	lr_defined	no
PB.150530.6	ENST00000307790.8	rules_mapping	reference	yes
PB.150534.3	PB.137344.2	rules_mapping	lr_defined	no
PB.150537.5	PB.60643.4	rules_mapping	lr_defined	no
PB.150541.1	ENST00000644773.2	rules_mapping	reference	no
PB.150543.1	PB.130875.5	rules_mapping	lr_defined	no
PB.150543.1	PB.130875.4	rules_mapping	lr_defined	no
PB.150543.1	PB.130875.6	rules_mapping	lr_defined	no
PB.150543.1	PB.130875.7	rules_mapping	lr_defined	no
PB.150543.2	PB.130875.4	rules_mapping	lr_defined	no
PB.150543.2	PB.130875.7	rules_mapping	lr_defined	no
PB.150543.2	PB.130875.6	rules_mapping	lr_defined	no
PB.150543.2	PB.130875.5	rules_mapping	lr_defined	no
